BLOCK,TYPE,TRACK,OFFSET,AREA
138,managed,186,57,0.56507
139,managed,61,47,2.60733
140,managed,51,53,3.28276
141,managed,187,57,2.42363
142,unmanaged,13,233,5.6962
143,unmanaged,43,307,7.1782
144,unmanaged,13,357,6.0447
145,unmanaged,188,107,0.316536
145,managed,189,107,6.2642
146,managed,3,57,18.9164
147,managed,6,57,4.78414
148,managed,6,47,2.9682
149,managed,6,47,6.3953
150,managed,24,87,1.81557
151,managed,6,47,2.48489
152,unmanaged,191,47,3.52677
152,managed,192,47,6.1542
153,unmanaged,193,127,1.60234
153,managed,194,127,16.2212
154,unmanaged,196,67,4.99594
154,managed,197,67,19.506
155,unmanaged,199,127,2.66049
155,managed,200,127,13.6415
156,unmanaged,92,307,15.4116
157,unmanaged,62,357,4.19582
158,unmanaged,13,357,16.4668
159,unmanaged,202,107,0.419815
159,managed,203,107,17.754
160,unmanaged,43,277,5.333
161,unmanaged,205,127,0.295945
161,managed,206,127,4.15435
162,unmanaged,208,59,0.170918
162,managed,209,59,17.0935
163,unmanaged,210,57,0.434187
163,managed,211,57,0.94813
164,managed,67,107,6.4025
165,unmanaged,212,127,0.67006
165,managed,213,127,6.637
166,managed,25,47,6.5052
167,managed,51,57,11.4769
168,unmanaged,215,107,0.237978
168,managed,216,107,4.69932
169,managed,218,57,3.57804
170,unmanaged,219,103,1.01466
170,managed,220,103,17.3006
171,unmanaged,222,307,1.67628
171,managed,223,307,0.72389
172,unmanaged,62,247,5.1375
173,unmanaged,225,177,1.09644
173,managed,226,177,10.8343
174,unmanaged,13,307,4.87737
175,managed,3,57,7.3921
176,managed,93,127,3.58156
177,unmanaged,228,127,0.279593
177,managed,229,127,2.62075
178,unmanaged,231,57,0.222912
178,managed,232,57,3.30976
179,unmanaged,62,307,2.51518
180,managed,187,47,4.85498
181,managed,16,57,14.9107
182,unmanaged,233,127,0.0276978
182,managed,234,127,5.2988
183,unmanaged,236,47,0.32557
183,managed,237,47,13.0175
184,unmanaged,238,57,0.482791
184,managed,239,57,10.6414
185,managed,25,37,0.417724
186,unmanaged,13,277,9.2513
187,unmanaged,240,77,0.82843
187,managed,241,77,3.04636
188,unmanaged,243,47,1.09188
188,managed,244,47,22.239
189,managed,6,47,6.7784
190,unmanaged,245,47,0.59962
190,managed,246,47,1.00837
191,unmanaged,247,57,1.34953
191,managed,248,57,11.8423
192,unmanaged,249,57,0.8777
192,managed,250,57,21.0648
193,unmanaged,251,57,1.66147
193,managed,252,57,14.3295
194,unmanaged,13,307,5.5064
195,unmanaged,13,357,5.4823
196,managed,253,67,5.8979
197,unmanaged,254,127,2.26981
197,managed,255,127,12.923
198,unmanaged,257,47,1.4206
198,managed,258,47,0.63407
199,managed,67,157,6.4028
200,managed,24,237,2.14564
201,unmanaged,13,307,1.85975
202,unmanaged,259,57,2.93712
202,managed,260,57,7.8216
203,managed,67,77,3.38961
204,unmanaged,261,57,0.090943
204,managed,262,57,8.4084
205,managed,63,107,5.273
206,managed,93,107,10.9253
207,managed,6,57,16.484
208,unmanaged,263,47,0.060572
208,managed,264,47,10.5661
209,managed,63,307,4.3663
210,unmanaged,265,127,1.73234
210,managed,266,127,5.2249
211,unmanaged,268,127,0.275958
211,managed,269,127,3.35029
212,unmanaged,271,77,2.73083
212,managed,272,77,9.257
213,unmanaged,274,57,0.0160896
213,managed,275,57,3.81476
214,unmanaged,43,357,4.97815
215,unmanaged,13,277,9.2429
216,managed,67,107,1.0112
217,managed,25,57,7.9918
218,managed,75,127,11.9945
