CURVE,X,Y
1713,1,0.5
1713,10,4.8
1713,20,9.6
1713,30,14.3
1713,70,33.5
1713,80,38.2
1713,120,57.4
1713,130,62.1
1713,170,81.3
1713,180,86
1713,220,105.2
1713,230,109.9
1713,270,129.1
1713,280,133.8
1713,290,138.6
1713,299,142.9
1011,0,0.5
1011,1,0.5
1011,10,4.8
1011,20,9.6
1011,30,14.3
1011,70,33.5
1011,80,38.2
1011,120,57.4
1011,130,62.1
1011,170,81.3
1011,180,86
1011,220,105.2
1011,230,109.9
1011,270,129.1
1011,280,133.8
1011,290,138.6
1011,299,142.9
419,0,0.5
419,1,0.5
419,10,4.8
419,20,9.6
419,30,14.3
419,70,33.5
419,80,38.2
419,120,57.4
419,130,62.1
419,170,81.3
419,180,86
419,220,105.2
419,230,109.9
419,270,129.1
419,280,133.8
419,290,138.6
419,299,142.9
537,0,0.4
537,1,0.4
537,10,4.1
537,290,118.9
537,299,122.6
1093,0,0.4
1093,1,0.4
1093,10,4.1
1093,290,118.9
1093,299,122.6
325,0,0.4
325,1,0.4
325,10,4.1
325,290,118.9
325,299,122.6
67,0,0.4
67,1,0.4
67,10,4.1
67,290,118.9
67,299,122.6
961,0,0.6
961,1,0.6
961,10,6.3
961,20,12.6
961,30,18.8
961,70,44
961,80,50.2
961,120,75.4
961,130,81.6
961,170,106.8
961,180,113
961,220,138.2
961,230,144.4
961,270,169.6
961,280,175.8
961,290,182.1
961,299,187.8
879,0,0.6
879,1,0.6
879,10,6.3
879,20,12.6
879,30,18.8
879,70,44
879,80,50.2
879,120,75.4
879,130,81.6
879,170,106.8
879,180,113
879,220,138.2
879,230,144.4
879,270,169.6
879,280,175.8
879,290,182.1
879,299,187.8
1752,0,0.6
1752,1,0.6
1752,10,6.3
1752,20,12.6
1752,30,18.8
1752,70,44
1752,80,50.2
1752,120,75.4
1752,130,81.6
1752,170,106.8
1752,180,113
1752,220,138.2
1752,230,144.4
1752,270,169.6
1752,280,175.8
1752,290,182.1
1752,299,187.8
453,0,0.6
453,1,0.6
453,10,6.3
453,20,12.6
453,30,18.8
453,70,44
453,80,50.2
453,120,75.4
453,130,81.6
453,170,106.8
453,180,113
453,220,138.2
453,230,144.4
453,270,169.6
453,280,175.8
453,290,182.1
453,299,187.8
1905,0,0.7
1905,1,0.7
1905,10,6.5
1905,20,13.1
1905,30,19.6
1905,40,26.2
1905,60,39.2
1905,70,45.8
1905,80,52.3
1905,90,58.9
1905,110,71.9
1905,120,78.5
1905,130,85
1905,140,91.6
1905,160,104.6
1905,170,111.2
1905,180,117.7
1905,190,124.3
1905,210,137.3
1905,220,143.9
1905,230,150.4
1905,240,157
1905,260,170
1905,270,176.6
1905,280,183.1
1905,290,189.7
1905,299,195.5
1875,0,0.6
1875,1,0.6
1875,10,6.3
1875,20,12.6
1875,30,18.8
1875,70,44
1875,80,50.2
1875,120,75.4
1875,130,81.6
1875,170,106.8
1875,180,113
1875,220,138.2
1875,230,144.4
1875,270,169.6
1875,280,175.8
1875,290,182.1
1875,299,187.8
1793,0,0.6
1793,1,0.6
1793,10,6.3
1793,20,12.6
1793,30,18.8
1793,70,44
1793,80,50.2
1793,120,75.4
1793,130,81.6
1793,170,106.8
1793,180,113
1793,220,138.2
1793,230,144.4
1793,270,169.6
1793,280,175.8
1793,290,182.1
1793,299,187.8
1696,0,0.6
1696,1,0.6
1696,10,6.3
1696,20,12.6
1696,30,18.8
1696,70,44
1696,80,50.2
1696,120,75.4
1696,130,81.6
1696,170,106.8
1696,180,113
1696,220,138.2
1696,230,144.4
1696,270,169.6
1696,280,175.8
1696,290,182.1
1696,299,187.8
1635,0,0.6
1635,1,0.6
1635,10,5.7
1635,20,11.3
1635,30,17
1635,40,22.6
1635,60,34
1635,70,39.6
1635,80,45.3
1635,90,50.9
1635,110,62.3
1635,120,67.9
1635,130,73.6
1635,140,79.2
1635,160,90.6
1635,170,96.2
1635,180,101.9
1635,190,107.5
1635,210,118.9
1635,220,124.5
1635,230,130.2
1635,240,135.8
