BLOCK,DELTA,AGE,TYPE,TREATMENT
1,70,127,MANAGED,CC
1,200,130,MANAGED,CC
2,40,97,MANAGED,CC
2,50,10,MANAGED,PCT
2,133,93,MANAGED,CC
2,143,10,MANAGED,PCT
2,224,91,MANAGED,CC
2,234,10,MANAGED,PCT
2,300,76,MANAGED,CC
3,121,158,MANAGED,CC
3,240,119,MANAGED,CC
4,101,158,MANAGED,CC
4,111,10,MANAGED,PCT
4,183,82,MANAGED,CC
4,193,10,MANAGED,PCT
4,260,77,MANAGED,CC
4,270,10,MANAGED,PCT
5,171,218,MANAGED,CC
6,150,237,MANAGED,CC
9,34,91,MANAGED,CC
9,44,10,MANAGED,PCT
9,113,79,MANAGED,CC
9,123,10,MANAGED,PCT
9,200,87,MANAGED,CC
9,210,10,MANAGED,PCT
9,274,74,MANAGED,CC
11,157,214,MANAGED,CC
11,263,106,MANAGED,CC
12,53,100,MANAGED,CC
12,63,10,MANAGED,PCT
12,128,75,MANAGED,CC
12,138,10,MANAGED,PCT
12,210,82,MANAGED,CC
12,220,10,MANAGED,PCT
13,80,127,MANAGED,CC
13,90,10,MANAGED,PCT
13,160,80,MANAGED,CC
13,170,10,MANAGED,PCT
13,249,89,MANAGED,CC
13,259,10,MANAGED,PCT
14,98,145,MANAGED,CC
14,108,10,MANAGED,PCT
14,175,77,MANAGED,CC
14,185,10,MANAGED,PCT
14,250,75,MANAGED,CC
14,260,10,MANAGED,PCT
15,87,214,MANAGED,CC
15,252,165,MANAGED,CC
16,51,178,MANAGED,CC
16,160,109,MANAGED,CC
16,290,130,MANAGED,CC
19,63,190,MANAGED,CC
19,280,217,MANAGED,CC
20,35,82,MANAGED,CC
20,45,10,MANAGED,PCT
20,128,93,MANAGED,CC
20,138,10,MANAGED,PCT
20,218,90,MANAGED,CC
20,228,10,MANAGED,PCT
21,3,70,MANAGED,CC
21,13,10,MANAGED,PCT
21,82,79,MANAGED,CC
21,92,10,MANAGED,PCT
21,162,80,MANAGED,CC
21,172,10,MANAGED,PCT
21,240,78,MANAGED,CC
22,29,86,MANAGED,CC
22,39,10,MANAGED,PCT
22,123,94,MANAGED,CC
22,133,10,MANAGED,PCT
