TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,756,CC,false,2,A,0,0,,0,
4,70,756,CC,false,4,A,0,0,,0,
4,10,10,PCT,false,5,R,0,0,,0,
5,70,756,CC,false,4,A,0,0,,0,
7,90,756,CC,false,7,A,0,0,,0,
9,70,756,CC,false,9,A,0,0,,0,
9,10,10,PCT,false,10,R,0,0,,0,
10,70,756,CC,false,9,A,0,0,,0,
12,100,756,CC,false,12,A,0,0,,0,
14,100,756,CC,false,15,A,0,0,,0,
15,100,756,CC,false,15,A,0,0,,0,
17,90,756,CC,false,17,A,0,0,,0,
19,100,756,CC,false,20,A,0,0,,0,
20,100,756,CC,false,20,A,0,0,,0,
22,70,756,CC,false,22,A,0,0,,0,
22,10,10,PCT,false,23,R,0,0,,0,
23,70,756,CC,false,22,A,0,0,,0,
25,80,756,CC,false,25,A,0,0,,0,
27,70,756,CC,false,27,A,0,0,,0,
27,10,10,PCT,false,28,R,0,0,,0,
28,70,756,CC,false,27,A,0,0,,0,
30,70,756,CC,false,30,A,0,0,,0,
30,10,10,PCT,false,31,R,0,0,,0,
31,70,756,CC,false,30,A,0,0,,0,
33,80,756,CC,false,34,A,0,0,,0,
34,80,756,CC,false,34,A,0,0,,0,
36,80,756,CC,false,37,A,0,0,,0,
37,80,756,CC,false,37,A,0,0,,0,
39,100,756,CC,false,40,A,0,0,,0,
40,100,756,CC,false,40,A,0,0,,0,
42,90,756,CC,false,43,A,0,0,,0,
43,90,756,CC,false,43,A,0,0,,0,
45,70,756,CC,false,45,A,0,0,,0,
45,10,10,PCT,false,46,R,0,0,,0,
46,70,756,CC,false,45,A,0,0,,0,
48,70,756,CC,false,49,A,0,0,,0,
49,70,756,CC,false,49,A,0,0,,0,
49,10,10,PCT,false,50,R,0,0,,0,
50,70,756,CC,false,49,A,0,0,,0,
52,80,756,CC,false,53,A,0,0,,0,
53,80,756,CC,false,53,A,0,0,,0,
56,80,756,CC,false,56,A,0,0,,0,
58,80,756,CC,false,59,A,0,0,,0,
59,80,756,CC,false,59,A,0,0,,0,
61,70,756,CC,false,61,A,0,0,,0,
61,10,10,PCT,false,62,R,0,0,,0,
62,70,756,CC,false,61,A,0,0,,0,
64,80,756,CC,false,65,A,0,0,,0,
65,80,756,CC,false,65,A,0,0,,0,
67,100,756,CC,false,68,A,0,0,,0,
68,100,756,CC,false,68,A,0,0,,0,
70,100,756,CC,false,71,A,0,0,,0,
71,100,756,CC,false,71,A,0,0,,0,
73,90,756,CC,false,74,A,0,0,,0,
74,90,756,CC,false,74,A,0,0,,0,
76,100,756,CC,false,77,A,0,0,,0,
77,100,756,CC,false,77,A,0,0,,0,
79,90,756,CC,false,80,A,0,0,,0,
80,90,756,CC,false,80,A,0,0,,0,
83,80,756,CC,false,25,A,0,0,,0,
86,100,756,CC,false,86,A,0,0,,0,
88,90,756,CC,false,88,A,0,0,,0,
90,100,756,CC,false,91,A,0,0,,0,
91,100,756,CC,false,91,A,0,0,,0,
93,100,756,CC,false,94,A,0,0,,0,
94,100,756,CC,false,94,A,0,0,,0,
96,100,756,CC,false,96,A,0,0,,0,
98,100,756,CC,false,99,A,0,0,,0,
99,100,756,CC,false,99,A,0,0,,0,
101,100,756,CC,false,101,A,0,0,,0,
103,90,756,CC,false,103,A,0,0,,0,
105,100,756,CC,false,106,A,0,0,,0,
106,100,756,CC,false,106,A,0,0,,0,
108,100,756,CC,false,109,A,0,0,,0,
109,100,756,CC,false,109,A,0,0,,0,
112,70,756,CC,false,9,A,0,0,,0,
114,70,756,CC,false,114,A,0,0,,0,
114,10,10,PCT,false,115,R,0,0,,0,
115,70,756,CC,false,114,A,0,0,,0,
117,70,756,CC,false,117,A,0,0,,0,
117,10,10,PCT,false,118,R,0,0,,0,
118,70,756,CC,false,117,A,0,0,,0,
120,80,756,CC,false,120,A,0,0,,0,
122,70,756,CC,false,123,A,0,0,,0,
123,70,756,CC,false,123,A,0,0,,0,
123,10,10,PCT,false,124,R,0,0,,0,
124,70,756,CC,false,123,A,0,0,,0,
126,70,756,CC,false,126,A,0,0,,0,
126,10,10,PCT,false,127,R,0,0,,0,
127,70,756,CC,false,126,A,0,0,,0,
129,100,756,CC,false,129,A,0,0,,0,
131,70,756,CC,false,131,A,0,0,,0,
131,10,10,PCT,false,132,R,0,0,,0,
132,70,756,CC,false,131,A,0,0,,0,
134,80,756,CC,false,135,A,0,0,,0,
135,80,756,CC,false,135,A,0,0,,0,
137,100,756,CC,false,138,A,0,0,,0,
138,100,756,CC,false,138,A,0,0,,0,
140,100,756,CC,false,141,A,0,0,,0,
141,100,756,CC,false,141,A,0,0,,0,
144,90,756,CC,false,145,A,0,0,,0,
145,90,756,CC,false,145,A,0,0,,0,
147,70,756,CC,false,147,A,0,0,,0,
147,10,10,PCT,false,148,R,0,0,,0,
148,70,756,CC,false,147,A,0,0,,0,
150,70,756,CC,false,151,A,0,0,,0,
151,70,756,CC,false,151,A,0,0,,0,
151,10,10,PCT,false,152,R,0,0,,0,
152,70,756,CC,false,151,A,0,0,,0,
154,80,756,CC,false,155,A,0,0,,0,
155,80,756,CC,false,155,A,0,0,,0,
157,100,756,CC,false,158,A,0,0,,0,
158,100,756,CC,false,158,A,0,0,,0,
160,100,756,CC,false,161,A,0,0,,0,
161,100,756,CC,false,161,A,0,0,,0,
163,70,756,CC,false,163,A,0,0,,0,
163,10,10,PCT,false,164,R,0,0,,0,
164,70,756,CC,false,163,A,0,0,,0,
166,100,756,CC,false,167,A,0,0,,0,
167,100,756,CC,false,167,A,0,0,,0,
169,100,756,CC,false,170,A,0,0,,0,
170,100,756,CC,false,170,A,0,0,,0,
172,0,756,CC,false,173,A,0,0,,0,
173,0,756,CC,false,173,A,0,0,,0,
175,100,756,CC,false,175,A,0,0,,0,
177,70,756,CC,false,178,A,0,0,,0,
178,70,756,CC,false,178,A,0,0,,0,
178,10,10,PCT,false,179,R,0,0,,0,
179,70,756,CC,false,178,A,0,0,,0,
181,100,756,CC,false,182,A,0,0,,0,
182,100,756,CC,false,182,A,0,0,,0,
184,80,756,CC,false,184,A,0,0,,0,
186,70,756,CC,false,186,A,0,0,,0,
186,10,10,PCT,false,187,R,0,0,,0,
187,70,756,CC,false,186,A,0,0,,0,
189,90,756,CC,false,190,A,0,0,,0,
190,90,756,CC,false,190,A,0,0,,0,
192,100,756,CC,false,193,A,0,0,,0,
193,100,756,CC,false,193,A,0,0,,0,
195,100,756,CC,false,196,A,0,0,,0,
196,100,756,CC,false,196,A,0,0,,0,
198,70,756,CC,false,198,A,0,0,,0,
198,10,10,PCT,false,199,R,0,0,,0,
199,70,756,CC,false,198,A,0,0,,0,
201,70,756,CC,false,201,A,0,0,,0,
201,10,10,PCT,false,202,R,0,0,,0,
202,70,756,CC,false,201,A,0,0,,0,
204,100,756,CC,false,204,A,0,0,,0,
206,80,756,CC,false,207,A,0,0,,0,
207,80,756,CC,false,207,A,0,0,,0,
209,70,756,CC,false,209,A,0,0,,0,
209,10,10,PCT,false,210,R,0,0,,0,
210,70,756,CC,false,209,A,0,0,,0,
212,100,756,CC,false,213,A,0,0,,0,
213,100,756,CC,false,213,A,0,0,,0,
215,80,756,CC,false,215,A,0,0,,0,
217,70,756,CC,false,217,A,0,0,,0,
217,10,10,PCT,false,218,R,0,0,,0,
218,70,756,CC,false,217,A,0,0,,0,
220,70,756,CC,false,220,A,0,0,,0,
220,10,10,PCT,false,221,R,0,0,,0,
221,70,756,CC,false,220,A,0,0,,0,
223,70,756,CC,false,224,A,0,0,,0,
224,70,756,CC,false,224,A,0,0,,0,
224,10,10,PCT,false,225,R,0,0,,0,
225,70,756,CC,false,224,A,0,0,,0,
227,100,756,CC,false,227,A,0,0,,0,
