TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
191,0,0,0,985502002,managed,natural,baseline,0.428340786138985
192,0,0,0,985502002,managed,planted,cc_pl,0.428340786138985
193,0,0,0,985503003,unmanaged,planted,cc_pl,0.039957673040953
194,0,0,0,985503003,managed,planted,cc_pl,0.039957673040953
195,0,0,0,985503001,unmanaged,planted,cc_pl,0.03971471004851
196,0,0,0,985503001,managed,planted,cc_pl,0.03971471004851
197,0,0,0,985503000,unmanaged,planted,cc_pl,0.249311084931426
198,0,0,0,985503000,managed,planted,cc_pl,0.249311084931426
199,0,0,0,985503000,unmanaged,natural,baseline,0.074732509230207
200,0,0,0,985503000,managed,natural,baseline,0.074732509230207
201,0,0,0,985503000,managed,planted,cc_pl,0.074732509230207
202,0,0,0,985502004,unmanaged,planted,cc_pl,0.419612325936125
203,0,0,0,985502004,managed,planted,cc_pl,0.419612325936125
204,0,0,0,985503001,unmanaged,planted,cc_pl,0.191414978727145
205,0,0,0,985503001,managed,planted,cc_pl,0.191414978727145
206,0,0,0,985503000,unmanaged,planted,cc_pl,0.089687730389158
207,0,0,0,985503000,managed,planted,cc_pl,0.089687730389158
208,0,0,0,985502003,unmanaged,planted,cc_pl,0.314062835092469
209,0,0,0,985502003,managed,planted,cc_pl,0.314062835092469
210,0,0,0,985502004,unmanaged,planted,cc_pl,0.270071285180665
211,0,0,0,985502004,managed,planted,cc_pl,0.270071285180665
212,0,0,0,985502002,unmanaged,natural,baseline,0.811866701682445
213,0,0,0,985502002,managed,natural,baseline,0.811866701682445
214,0,0,0,985502002,managed,planted,cc_pl,0.811866701682445
215,0,0,0,985503003,unmanaged,natural,baseline,0.044682016055736
216,0,0,0,985503003,managed,natural,baseline,0.044682016055736
217,0,0,0,985503003,managed,planted,cc_pl,0.044682016055736
218,0,0,0,985502004,unmanaged,planted,cc_pl,0.369814299778091
219,0,0,0,985502004,managed,planted,cc_pl,0.369814299778091
220,0,0,0,985502005,unmanaged,natural,baseline,0.172814281134377
221,0,0,0,985502005,managed,natural,baseline,0.172814281134377
222,0,0,0,985502005,managed,planted,cc_pl,0.172814281134377
223,0,0,0,985503003,unmanaged,natural,baseline,0.122764280757499
224,0,0,0,985503003,managed,natural,baseline,0.122764280757499
225,0,0,0,985503003,managed,planted,cc_pl,0.122764280757499
226,0,0,0,985501003,unmanaged,natural,baseline,0.567323380876795
227,0,0,0,985501003,managed,natural,baseline,0.567323380876795
228,0,0,0,985501003,managed,planted,cc_pl,0.567323380876795
229,0,0,0,985502007,unmanaged,natural,baseline,0.035
230,0,0,0,985502007,managed,natural,baseline,0.035
231,0,0,0,985502007,managed,planted,cc_pl,0.035
232,0,0,0,985502006,unmanaged,natural,baseline,0.99
233,0,0,0,985502006,managed,natural,baseline,0.99
234,0,0,0,985502006,managed,planted,cc_pl,0.99
235,0,0,0,985502007,unmanaged,natural,baseline,0.042340852815625
236,0,0,0,985502007,managed,natural,baseline,0.042340852815625
237,0,0,0,985502007,managed,planted,cc_pl,0.042340852815625
238,0,0,0,985501000,unmanaged,planted,cc_pl,0.319242936675441
239,0,0,0,985501000,managed,planted,cc_pl,0.319242936675441
240,0,0,0,985501000,unmanaged,natural,baseline,0.112373765353201
241,0,0,0,985501000,managed,natural,baseline,0.112373765353201
242,0,0,0,985501000,managed,planted,cc_pl,0.112373765353201
243,0,0,0,985501001,unmanaged,natural,baseline,0.040181059940855
244,0,0,0,985501001,managed,natural,baseline,0.040181059940855
245,0,0,0,985501001,managed,planted,cc_pl,0.040181059940855
246,0,0,0,985502005,unmanaged,planted,cc_pl,0.035
247,0,0,0,985502005,managed,planted,cc_pl,0.035
248,0,0,0,985501003,unmanaged,natural,baseline,0.663036036562254
249,0,0,0,985501003,managed,natural,baseline,0.663036036562254
250,0,0,0,985501003,managed,planted,cc_pl,0.663036036562254
251,0,0,0,985502003,unmanaged,natural,baseline,0.100229114225268
252,0,0,0,985502003,managed,natural,baseline,0.100229114225268
253,0,0,0,985502003,managed,planted,cc_pl,0.100229114225268
254,0,0,0,985502002,unmanaged,natural,baseline,0.362698705039515
255,0,0,0,985502002,managed,natural,baseline,0.362698705039515
256,0,0,0,985502002,managed,planted,cc_pl,0.362698705039515
257,0,0,0,985501000,unmanaged,planted,cc_pl,0.064092521749371
258,0,0,0,985501000,managed,planted,cc_pl,0.064092521749371
259,0,0,0,985501003,unmanaged,natural,baseline,0.908707447275633
260,0,0,0,985501003,managed,natural,baseline,0.908707447275633
261,0,0,0,985501003,managed,planted,cc_pl,0.908707447275633
262,0,0,0,985502004,unmanaged,planted,cc_pl,0.035
263,0,0,0,985502004,managed,planted,cc_pl,0.035
264,0,0,0,985501000,unmanaged,natural,baseline,0.062234775980037
265,0,0,0,985501000,managed,natural,baseline,0.062234775980037
266,0,0,0,985501000,managed,planted,cc_pl,0.062234775980037
267,0,0,0,985503000,unmanaged,planted,cc_pl,0.04131046374401
268,0,0,0,985503000,managed,planted,cc_pl,0.04131046374401
269,0,0,0,985502002,unmanaged,natural,baseline,0.942179868617942
270,0,0,0,985502002,managed,natural,baseline,0.942179868617942
271,0,0,0,985502002,managed,planted,cc_pl,0.942179868617942
272,0,0,0,985501000,unmanaged,natural,baseline,0.133074487743581
273,0,0,0,985501000,managed,natural,baseline,0.133074487743581
274,0,0,0,985501000,managed,planted,cc_pl,0.133074487743581
275,0,0,0,985502005,unmanaged,planted,cc_pl,0.329204220556323
276,0,0,0,985502005,managed,planted,cc_pl,0.329204220556323
277,0,0,0,985502001,unmanaged,planted,cc_pl,0.074271464456203
278,0,0,0,985502001,managed,planted,cc_pl,0.074271464456203
279,0,0,0,985503000,unmanaged,planted,cc_pl,0.038472568384978
280,0,0,0,985503000,managed,planted,cc_pl,0.038472568384978
281,0,0,0,985503000,unmanaged,planted,cc_pl,0.105302211224196
282,0,0,0,985503000,managed,planted,cc_pl,0.105302211224196
283,0,0,0,985502002,unmanaged,natural,baseline,0.68329804194573
284,0,0,0,985502002,managed,natural,baseline,0.68329804194573
285,0,0,0,985502002,managed,planted,cc_pl,0.68329804194573
286,0,0,0,985503001,unmanaged,natural,baseline,0.035
287,0,0,0,985503001,managed,natural,baseline,0.035
288,0,0,0,985503000,unmanaged,natural,baseline,0.132667036229986
289,0,0,0,985503000,managed,natural,baseline,0.132667036229986
290,0,0,0,985503000,managed,planted,cc_pl,0.132667036229986
291,0,0,0,985501001,unmanaged,planted,cc_pl,0.3588162728196
292,0,0,0,985501001,managed,planted,cc_pl,0.3588162728196
293,0,0,0,985503001,unmanaged,planted,cc_pl,0.27592970905729
294,0,0,0,985503001,managed,planted,cc_pl,0.27592970905729
295,0,0,0,985502003,unmanaged,natural,baseline,0.21717875398537
296,0,0,0,985502003,managed,natural,baseline,0.21717875398537
297,0,0,0,985502003,managed,planted,cc_pl,0.21717875398537
298,0,0,0,985503003,unmanaged,natural,baseline,0.049260753847382
299,0,0,0,985503003,managed,natural,baseline,0.049260753847382
300,0,0,0,985503003,managed,planted,cc_pl,0.049260753847382
301,0,0,0,985502001,unmanaged,natural,baseline,0.254595566004923
302,0,0,0,985502001,managed,natural,baseline,0.254595566004923
303,0,0,0,985502001,managed,planted,cc_pl,0.254595566004923
