TRACK,STRATA
1,1.0 x 0+treatment()+AU(985502004)+IFM(unmanaged)+ORIGIN(planted)+RETENTION(0.16873516793571)
2,1.0 x 0+treatment()+AU(985502004)+IFM(managed)+ORIGIN(planted)+RETENTION(0.16873516793571)
3,1.0 x 0+treatment()+AU(985503001)+IFM(unmanaged)+ORIGIN(planted)+RETENTION(0.039019787218736)
4,1.0 x 0+treatment()+AU(985503001)+IFM(managed)+ORIGIN(planted)+RETENTION(0.039019787218736)
5,1.0 x 0+treatment()+AU(985502003)+IFM(unmanaged)+ORIGIN(planted)+RETENTION(0.312667792760887)
6,1.0 x 0+treatment()+AU(985502003)+IFM(managed)+ORIGIN(planted)+RETENTION(0.312667792760887)
7,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+RETENTION(0.0)
8,1.0 x 0+treatment()+AU(985502004)+IFM(unmanaged)+ORIGIN(planted)+RETENTION(0.636348922451195)
9,1.0 x 0+treatment()+AU(985502004)+IFM(managed)+ORIGIN(planted)+RETENTION(0.636348922451195)
10,1.0 x 0+treatment()+AU(985501003)+IFM(managed)+ORIGIN(natural)+RETENTION(0.0)
11,1.0 x 0+treatment()+AU(985501003)+IFM(managed)+ORIGIN(planted)+RETENTION(0.0)
12,1.0 x 0+treatment()+AU(985501001)+IFM(unmanaged)+ORIGIN(planted)+RETENTION(0.072180055466067)
13,1.0 x 0+treatment()+AU(985501001)+IFM(managed)+ORIGIN(planted)+RETENTION(0.072180055466067)
14,1.0 x 0+treatment()+AU(985502002)+IFM(unmanaged)+ORIGIN(natural)+RETENTION(0.005416986269552)
15,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(natural)+RETENTION(0.005416986269552)
16,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(planted)+RETENTION(0.005416986269552)
17,1.0 x 0+treatment()+AU(985503000)+IFM(unmanaged)+ORIGIN(planted)+RETENTION(0.078357477120205)
18,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+RETENTION(0.078357477120205)
19,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(natural)+RETENTION(0.0)
20,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(planted)+RETENTION(0.0)
21,1.0 x 0+treatment()+AU(985501000)+IFM(managed)+ORIGIN(planted)+RETENTION(0.0)
22,1.0 x 0+treatment()+AU(985502001)+IFM(unmanaged)+ORIGIN(planted)+RETENTION(0.047098576453869)
