BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,1.22596
1,managed,2,57,6.8184
2,managed,3,57,5.8981
3,unmanaged,4,37,0.53877
3,managed,5,37,1.41896
4,managed,6,57,7.3557
5,unmanaged,7,47,3.41443
5,managed,8,47,1.78732
6,managed,9,87,3.05685
7,unmanaged,11,57,8.2406
7,managed,12,57,79.146
8,managed,13,277,21.7776
9,unmanaged,15,57,0.0147954
9,managed,16,57,4.21247
10,managed,13,307,6.901
11,managed,17,57,4.32839
12,unmanaged,18,47,0.343748
12,managed,19,47,2.26436
13,managed,6,47,1.7402
14,unmanaged,20,47,1.51424
14,managed,21,47,44.935
15,unmanaged,22,127,0.0025347
15,managed,23,127,2.81377
16,managed,13,127,0.8214
17,unmanaged,25,67,0.112968
17,managed,26,67,3.08725
18,unmanaged,28,407,3.90672
18,managed,29,407,3.78065
19,unmanaged,31,127,0.62271
19,managed,32,127,0.83802
20,unmanaged,34,47,0.81244
20,managed,35,47,20.345
21,unmanaged,36,67,0.82429
21,managed,37,67,15.6286
22,managed,3,57,1.35846
23,unmanaged,39,127,0.474733
23,managed,40,127,9.395
24,managed,42,277,9.797
25,unmanaged,44,57,0.0063152
25,managed,45,57,2.09876
26,unmanaged,46,47,0.074487
26,managed,47,47,8.2019
27,unmanaged,48,207,0.383372
27,managed,49,207,2.26605
28,managed,51,57,7.4439
29,unmanaged,52,57,0.0105691
29,managed,53,57,1.64085
30,unmanaged,54,107,0.78793
30,managed,55,107,2.75174
31,unmanaged,57,357,3.1202
31,managed,58,357,3.07805
32,unmanaged,60,277,3.28877
32,managed,61,277,5.1138
33,managed,63,127,3.50226
34,unmanaged,65,237,2.41422
34,managed,66,237,1.73963
35,managed,6,57,4.21786
36,managed,6,47,5.6792
37,managed,68,127,5.6713
38,managed,13,407,5.6516
39,managed,14,47,23.218
40,managed,9,237,3.98016
41,unmanaged,70,57,0.0065485
41,managed,71,57,2.84061
42,managed,72,127,3.91702
43,managed,64,47,3.59549
44,managed,6,57,1.4588
45,managed,72,107,2.57388
46,unmanaged,73,237,0.107756
46,managed,74,237,4.49718
47,managed,72,77,5.5472
48,unmanaged,76,43,1.40636
48,managed,77,43,13.3818
49,unmanaged,78,47,4.73979
49,managed,79,47,5.0979
50,managed,9,237,3.88339
51,managed,80,103,14.8538
52,unmanaged,82,403,1.30242
52,managed,83,403,1.51058
53,unmanaged,85,177,2.82878
53,managed,86,177,0.53121
54,unmanaged,88,47,0.48649
54,managed,89,47,6
55,unmanaged,90,277,1.30603
55,managed,91,277,7.8207
56,unmanaged,93,47,0.74941
56,managed,94,47,1.79786
57,unmanaged,95,47,0.62014
57,managed,96,47,5.1647
58,unmanaged,97,237,1.35329
58,managed,98,237,0.59698
59,unmanaged,100,357,1.40328
59,managed,101,357,0.0245589
60,managed,103,307,6.3747
61,managed,105,107,15.4492
