CURVE,X,Y
492,80,30.9
492,90,32.4
492,100,34
492,110,35.4
492,120,36.7
492,140,39.1
316,79,0
316,80,30.9
316,110,35.4
316,120,36.7
316,140,39.1
1881,79,0
1881,80,30.9
1881,110,35.4
1881,120,36.7
1881,140,39.1
466,79,0
466,80,30.9
466,110,35.4
466,120,36.7
466,140,39.1
228,79,0
228,80,30.9
228,110,35.4
228,120,36.7
228,140,39.1
716,79,0
716,80,75.6
716,90,86.2
716,100,95.9
716,110,104.8
716,120,113.2
716,130,120.7
489,79,0
489,80,75.6
489,90,86.2
489,100,96.3
489,110,105.3
489,120,113.6
489,130,121.3
489,140,128.4
1948,79,0
1948,80,91.8
1948,90,104.1
1948,100,116
1649,79,0
1649,80,91.8
1649,90,104.1
1649,100,116
1859,79,0
1859,80,75.6
1859,90,86.2
1859,100,95.9
1859,110,104.8
1859,120,113.2
1859,130,120.7
1588,79,0
1588,80,75.6
1588,90,86.2
1588,100,95.9
1588,110,104.8
1588,120,113.2
1588,130,120.7
1708,79,0
1708,80,100.8
1708,90,115
1708,100,128.4
1708,110,140.4
1708,120,151.5
1708,130,161.7
1708,140,171.2
2083,79,0
2083,80,116.2
2083,90,132.7
2083,100,147.6
2083,110,161.3
2083,120,174.1
2083,130,185.7
726,79,0
726,80,116.2
726,90,132.7
726,100,147.6
726,110,161.3
726,120,174.1
726,130,185.7
1006,79,0
1006,80,116.2
1006,90,132.7
1006,100,147.6
1006,110,161.3
1006,120,174.1
1006,130,185.7
1595,79,0
1595,80,116.2
1595,90,132.7
1595,100,147.6
1595,110,161.3
1595,120,174.1
1595,130,185.7
1052,79,0
1052,80,116.2
1052,90,132.7
1052,100,147.6
1052,110,161.3
1052,120,174.1
1052,130,185.7
1665,79,0
1665,80,116.2
1665,90,132.7
1665,100,147.6
1665,110,161.3
1665,120,174.1
1665,130,185.7
540,79,0
540,80,116.2
540,90,132.7
540,100,147.6
540,110,161.3
540,120,174.1
540,130,185.7
1723,79,0
1723,80,100.8
1723,90,115
1723,100,128.4
1723,110,140.4
1723,120,151.5
1723,130,161.7
1723,140,171.2
1122,79,0
1122,80,100.8
1122,90,115
1122,100,128.4
1122,110,140.4
1122,120,151.5
1122,130,161.7
1122,140,171.2
498,79,0
498,80,100.8
498,90,115
498,100,128.4
498,110,140.4
498,120,151.5
498,130,161.7
498,140,171.2
1877,79,0
1877,80,120.8
1877,90,137.7
1877,100,153.8
