TYPE,ROTATION,treatment,AU,IFM,ORIGIN,SILV_STATE,RETENTION
succession,0,,985502004,unmanaged,planted,cc_pl,0.05
succession,0,,985502004,managed,planted,cc_pl,0.05
succession,0,,985503001,unmanaged,planted,cc_pl,0.05
succession,0,,985503001,managed,planted,cc_pl,0.05
succession,0,,985502003,unmanaged,planted,cc_pl,0.05
succession,0,,985502003,managed,planted,cc_pl,0.05
succession,0,,985503000,unmanaged,planted,cc_pl,0.05
succession,0,,985503000,managed,planted,cc_pl,0.05
succession,0,,985501003,unmanaged,natural,baseline,0.05
succession,0,,985501003,managed,natural,baseline,0.05
succession,1,,985501003,managed,planted,cc_pl,0.05
succession,0,,985501001,unmanaged,planted,cc_pl,0.05
succession,0,,985501001,managed,planted,cc_pl,0.05
succession,0,,985502002,unmanaged,natural,baseline,0.05
succession,0,,985502002,managed,natural,baseline,0.05
succession,1,,985502002,managed,planted,cc_pl,0.05
succession,2,,985502002,managed,planted,cc_pl_ct,0.05
succession,3,,985502002,managed,planted,cc_pl_ct_f1,0.05
succession,4,,985502002,managed,planted,cc_pl_ct_f1_f2,0.05
succession,5,,985502002,managed,planted,cc_pl_ct_f1_f2_f3,0.05
succession,0,,985501000,unmanaged,planted,cc_pl,0.05
succession,0,,985501000,managed,planted,cc_pl,0.05
succession,0,,985502001,unmanaged,planted,cc_pl,0.05
succession,0,,985502001,managed,planted,cc_pl,0.05
succession,1,,985502001,managed,planted,cc_pl_ct,0.05
succession,2,,985502001,managed,planted,cc_pl_ct_f1,0.05
succession,3,,985502001,managed,planted,cc_pl_ct_f1_f2,0.05
succession,4,,985502001,managed,planted,cc_pl_ct_f1_f2_f3,0.05
succession,0,,985503003,unmanaged,natural,baseline,0.05
succession,0,,985503003,managed,natural,baseline,0.05
succession,1,,985503003,managed,planted,cc_pl,0.05
succession,0,,985501000,unmanaged,natural,baseline,0.05
succession,0,,985501000,managed,natural,baseline,0.05
succession,0,,985502003,unmanaged,natural,baseline,0.05
succession,0,,985502003,managed,natural,baseline,0.05
succession,0,,985503000,unmanaged,natural,baseline,0.05
succession,0,,985503000,managed,natural,baseline,0.05
succession,0,,985502006,unmanaged,natural,baseline,1.0
succession,0,,985502007,unmanaged,natural,baseline,0.05
succession,0,,985502007,managed,natural,baseline,0.05
succession,1,,985502007,managed,planted,cc_pl,0.05
succession,0,,985501001,unmanaged,natural,baseline,0.05
succession,0,,985501001,managed,natural,baseline,0.05
succession,0,,985502002,unmanaged,planted,cc_pl,0.05
succession,0,,985502008,unmanaged,natural,baseline,1.0
succession,0,,985502001,unmanaged,natural,baseline,0.05
succession,0,,985502001,managed,natural,baseline,0.05
succession,0,,985503003,unmanaged,planted,cc_pl,0.05
succession,0,,985502005,unmanaged,natural,baseline,0.05
succession,0,,985502005,managed,natural,baseline,0.05
succession,1,,985502005,managed,planted,cc_pl,0.05
succession,0,,985502005,unmanaged,planted,cc_pl,0.05
succession,0,,985503001,unmanaged,natural,baseline,0.05
succession,0,,985503001,managed,natural,baseline,0.05
