BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,2.27736
1,managed,2,57,5.767
2,managed,3,57,5.8981
3,unmanaged,4,37,1.00314
3,managed,5,37,0.95459
4,managed,6,57,7.3557
5,unmanaged,7,47,4.1432
5,managed,8,47,1.05856
6,managed,9,87,3.05685
7,unmanaged,11,57,13.5362
7,managed,12,57,73.851
8,unmanaged,13,277,21.7776
9,unmanaged,14,57,1.51082
9,managed,15,57,2.71644
10,unmanaged,13,307,6.901
11,managed,16,57,4.32839
12,unmanaged,17,47,0.438161
12,managed,18,47,2.16994
13,managed,6,47,1.7402
14,unmanaged,19,47,2.95881
14,managed,20,47,43.4904
15,unmanaged,21,127,0.28501
15,managed,22,127,2.5313
16,unmanaged,24,127,0.6747
16,managed,25,127,0.146702
17,unmanaged,27,67,0.426269
17,managed,28,67,2.77395
18,unmanaged,30,407,5.3081
18,managed,31,407,2.37924
19,unmanaged,33,127,1.10343
19,managed,34,127,0.357293
20,unmanaged,36,47,21.1574
21,unmanaged,37,67,1.55645
21,managed,38,67,14.8965
22,managed,3,57,1.35846
23,unmanaged,40,127,0.82313
23,managed,41,127,9.0466
24,unmanaged,43,277,9.797
25,unmanaged,44,57,0.71573
25,managed,45,57,1.38935
26,unmanaged,46,47,0.374919
26,managed,47,47,7.9014
27,unmanaged,48,207,0.74078
27,managed,49,207,1.90864
28,managed,51,57,7.4439
29,unmanaged,52,57,0.266043
29,managed,53,57,1.38537
30,unmanaged,54,107,1.75922
30,managed,55,107,1.78045
31,unmanaged,57,357,4.49249
31,managed,58,357,1.70576
32,unmanaged,13,277,8.4026
33,unmanaged,60,127,0.138689
33,managed,61,127,3.36357
34,unmanaged,63,237,4.15385
35,managed,6,57,4.21786
36,managed,6,47,5.6792
37,managed,64,127,5.6713
38,managed,66,407,5.6516
39,managed,67,47,23.218
40,unmanaged,68,237,2.74089
40,managed,69,237,1.23926
41,unmanaged,71,57,2.84716
42,unmanaged,72,127,3.44215
42,managed,73,127,0.474864
43,managed,75,47,3.59549
44,managed,6,57,1.4588
45,managed,76,107,2.57388
46,unmanaged,63,237,4.60494
47,managed,76,77,5.5472
48,unmanaged,77,43,2.87335
48,managed,78,43,11.9148
49,unmanaged,79,47,4.73979
49,managed,80,47,5.0979
50,managed,9,237,3.88339
51,managed,81,103,14.8538
52,unmanaged,83,403,2.18064
52,managed,84,403,0.63236
53,unmanaged,13,177,3.35999
54,unmanaged,86,47,0.94833
54,managed,87,47,5.5382
55,unmanaged,13,277,9.1267
56,unmanaged,88,47,1.4415
56,managed,89,47,1.10577
57,unmanaged,90,47,1.0245
57,managed,91,47,4.76037
58,unmanaged,92,237,1.71838
58,managed,93,237,0.231887
59,unmanaged,13,357,1.42784
60,unmanaged,95,307,6.3747
61,unmanaged,96,107,10.9641
61,managed,97,107,4.48513
62,managed,6,47,2.6047
63,managed,6,47,4.01423
64,unmanaged,13,237,0.66903
65,unmanaged,13,357,8.3464
66,unmanaged,99,57,2.25647
66,managed,100,57,1.53146
67,unmanaged,101,47,2.51546
67,managed,102,47,1.76909
68,unmanaged,103,57,19.0338
69,managed,51,47,8.9571
70,unmanaged,104,127,0.79914
70,managed,105,127,0.185507
71,managed,81,127,2.30933
72,unmanaged,107,101,3.57505
72,managed,108,101,7.3779
73,unmanaged,110,261,1.12257
74,unmanaged,71,57,4.7309
75,unmanaged,111,47,3.43991
75,managed,112,47,11.9581
76,unmanaged,113,237,1.06298
76,managed,114,237,2.8273
77,unmanaged,116,57,0.156426
77,managed,117,57,4.82528
78,unmanaged,118,47,3.98453
78,managed,119,47,1.77429
79,unmanaged,120,177,2.9512
79,managed,121,177,1.32157
80,unmanaged,123,127,2.06699
80,managed,124,127,0.296634
81,unmanaged,126,307,1.35658
81,managed,127,307,1.68235
82,unmanaged,129,57,0.98474
82,managed,130,57,30.781
83,unmanaged,131,77,1.93277
84,unmanaged,132,57,1.24536
84,managed,133,57,2.88382
85,managed,6,57,1.14501
86,managed,9,97,2.06414
87,unmanaged,134,57,0.82812
87,managed,135,57,10.9516
88,unmanaged,43,307,2.80289
89,unmanaged,136,107,2.93288
89,managed,137,107,4.62999
90,unmanaged,139,57,0.100413
90,managed,140,57,7.5647
91,managed,75,47,7.5117
92,unmanaged,141,237,0.96899
92,managed,142,237,2.07433
93,unmanaged,13,237,3.06129
94,unmanaged,13,307,6.5515
95,unmanaged,144,57,0.82197
95,managed,145,57,4.52463
96,unmanaged,146,47,5.6812
96,managed,147,47,19.0412
97,managed,6,57,2.69013
98,unmanaged,63,237,6.0689
99,managed,64,107,1.67414
100,unmanaged,43,357,11.0588
101,unmanaged,148,47,0.96597
101,managed,149,47,19.3702
102,unmanaged,150,47,0.205579
102,managed,151,47,19.3734
103,unmanaged,13,237,3.70724
104,unmanaged,95,237,10.685
105,unmanaged,152,57,4.33499
106,unmanaged,153,65,0.466397
106,managed,154,65,17.1335
107,unmanaged,156,357,0.231743
107,managed,157,357,2.53368
108,managed,6,47,28.1802
109,unmanaged,159,57,1.75372
109,managed,160,57,32.102
110,unmanaged,161,67,3.16848
110,managed,162,67,3.99193
111,unmanaged,13,307,7.7
112,unmanaged,164,47,4.00992
112,managed,165,47,2.1706
113,unmanaged,166,47,5.9056
113,managed,167,47,34.9922
114,managed,16,47,4.81258
115,managed,67,37,25.2158
116,unmanaged,131,107,4.41054
117,unmanaged,63,307,5.9836
118,unmanaged,13,277,2.76888
119,unmanaged,168,57,0.71909
119,managed,169,57,4.08765
120,unmanaged,170,57,29.6039
121,unmanaged,171,57,1.13986
121,managed,172,57,0.58433
122,unmanaged,173,127,1.55528
122,managed,174,127,1.59179
123,unmanaged,176,47,0.183207
123,managed,177,47,2.52696
124,unmanaged,13,457,7.2965
125,managed,64,107,1.0655
126,unmanaged,178,47,0.0179643
126,managed,179,47,3.72459
127,unmanaged,180,47,0.492056
127,managed,181,47,6.3137
128,unmanaged,182,57,1.96877
128,managed,183,57,3.28969
129,managed,184,127,12.5002
130,unmanaged,185,197,0.61006
130,managed,186,197,8.9221
131,managed,64,237,1.67654
132,unmanaged,188,107,0.64722
132,managed,189,107,2.47041
133,unmanaged,191,57,4.13233
133,managed,192,57,1.87484
134,managed,16,47,3.51939
135,unmanaged,193,57,2.79318
135,managed,194,57,5.2679
136,managed,3,57,13.8617
137,unmanaged,195,47,0.93556
137,managed,196,47,5.1673
138,unmanaged,197,57,1.44638
138,managed,198,57,0.56528
139,managed,75,47,2.60733
140,unmanaged,199,53,0.0315145
140,managed,200,53,3.25124
141,managed,201,57,2.42363
142,unmanaged,13,233,5.6962
143,unmanaged,43,307,7.1782
144,unmanaged,13,357,6.0447
145,unmanaged,202,107,0.57713
145,managed,203,107,6.0036
146,unmanaged,36,57,18.9164
147,managed,6,57,4.78414
148,managed,6,47,2.9682
149,managed,6,47,6.3953
150,managed,66,87,1.81557
151,managed,6,47,2.48489
152,unmanaged,152,47,9.681
153,unmanaged,205,127,17.8236
154,unmanaged,206,67,8.4801
154,managed,207,67,16.0218
155,unmanaged,209,127,4.60532
155,managed,210,127,11.6967
156,unmanaged,95,307,15.4116
157,unmanaged,63,357,4.19582
158,unmanaged,13,357,16.4668
159,unmanaged,212,107,0.99229
159,managed,213,107,17.1815
160,unmanaged,43,277,5.333
161,unmanaged,215,127,0.8015
161,managed,216,127,3.6488
162,unmanaged,218,59,0.90466
162,managed,219,59,16.3598
163,unmanaged,220,57,0.79373
163,managed,221,57,0.58859
164,unmanaged,222,107,4.89652
164,managed,223,107,1.50597
165,unmanaged,225,127,1.47316
165,managed,226,127,5.8339
166,managed,67,47,6.5052
167,managed,51,57,11.4769
168,unmanaged,228,107,0.454725
168,managed,229,107,4.48257
169,unmanaged,231,57,0.050093
169,managed,232,57,3.52794
170,unmanaged,233,103,1.13737
170,managed,234,103,17.1778
171,unmanaged,236,307,2.18848
171,managed,237,307,0.211695
172,unmanaged,63,247,5.1375
173,unmanaged,239,177,2.3599
173,managed,240,177,9.5709
174,unmanaged,13,307,4.87737
175,managed,3,57,7.3921
176,managed,242,127,3.58156
177,unmanaged,243,127,0.70826
177,managed,244,127,2.19208
178,unmanaged,246,57,0.413676
178,managed,247,57,3.119
179,unmanaged,63,307,2.51518
180,managed,201,47,4.85498
181,unmanaged,103,57,14.9107
182,unmanaged,248,127,1.65068
182,managed,249,127,3.67581
183,unmanaged,251,47,0.93268
183,managed,252,47,12.4103
184,unmanaged,253,57,0.84989
184,managed,254,57,10.2743
185,managed,67,37,0.417724
186,unmanaged,13,277,9.2513
187,unmanaged,255,77,1.36625
187,managed,256,77,2.50854
188,unmanaged,258,47,1.11988
188,managed,259,47,22.211
189,managed,6,47,6.7784
190,unmanaged,260,47,1.27627
190,managed,261,47,0.331729
191,unmanaged,262,57,1.80729
191,managed,263,57,11.3846
192,unmanaged,264,57,1.25731
192,managed,265,57,20.6852
193,unmanaged,266,57,2.58575
193,managed,267,57,13.4053
194,unmanaged,13,307,5.5064
195,unmanaged,13,357,5.4823
196,managed,268,67,5.8979
197,unmanaged,269,127,3.21328
197,managed,270,127,11.9795
198,unmanaged,272,47,1.68339
198,managed,273,47,0.371278
199,managed,76,157,6.4028
200,unmanaged,274,237,1.23632
200,managed,275,237,0.90932
201,unmanaged,13,307,1.85975
202,unmanaged,277,57,3.94628
202,managed,278,57,6.8124
203,managed,76,77,3.38961
204,unmanaged,279,57,0.464914
204,managed,280,57,8.0344
205,managed,64,107,5.273
206,managed,242,107,10.9253
207,managed,6,57,16.484
208,unmanaged,281,47,0.273106
208,managed,282,47,10.3536
209,managed,64,307,4.3663
210,unmanaged,283,127,2.72508
210,managed,284,127,4.23211
211,unmanaged,286,127,0.345944
211,managed,287,127,3.28031
212,unmanaged,289,77,5.0529
212,managed,290,77,6.935
213,unmanaged,292,57,0.172005
213,managed,293,57,3.65884
214,unmanaged,43,357,4.97815
215,unmanaged,13,277,9.2429
216,managed,76,107,1.0112
217,managed,67,57,7.9918
218,managed,81,127,11.9945
