CURVE,X,Y
1011,0,0.3
1011,1,0.3
1011,10,3.3
1011,20,6.5
1011,30,9.8
1011,40,13
1011,60,19.6
1011,70,22.8
1011,80,26.1
1011,90,29.3
1011,110,35.9
1011,120,39.1
1011,130,42.4
1011,140,45.6
1011,160,52.2
1011,170,55.4
1011,180,58.7
1011,190,61.9
1011,210,68.5
1011,220,71.7
1011,230,75
1011,240,78.2
1011,260,84.8
1011,270,88
1011,280,91.3
1011,290,94.5
1011,299,97.5
749,0,0.2
749,1,0.2
749,10,1.9
749,20,3.9
749,30,5.8
749,40,7.8
749,60,11.6
749,70,13.6
749,80,15.5
749,90,17.5
749,110,21.3
749,120,23.3
749,130,25.2
749,140,27.2
749,160,31
749,170,33
749,180,34.9
749,190,36.9
749,210,40.7
749,220,42.7
749,230,44.6
749,240,46.6
749,260,50.4
749,270,52.4
749,280,54.3
749,290,56.3
749,299,58
383,0,0.2
383,1,0.2
383,10,1.7
383,290,49.3
383,299,50.8
1881,0,0.4
1881,1,0.4
1881,10,4.1
1881,290,118.9
1881,299,122.6
1358,0,0.4
1358,1,0.4
1358,10,4.1
1358,290,118.9
1358,299,122.6
708,0,0.3
708,1,0.3
708,10,3.2
708,290,92.8
708,299,95.7
1265,0,0.3
1265,1,0.3
1265,10,3.3
1265,20,6.5
1265,30,9.8
1265,40,13
1265,60,19.6
1265,70,22.8
1265,80,26.1
1265,90,29.3
1265,110,35.9
1265,120,39.1
1265,130,42.4
1265,140,45.6
1265,160,52.2
1265,170,55.4
1265,180,58.7
1265,190,61.9
1265,210,68.5
1265,220,71.7
1265,230,75
1265,240,78.2
1265,260,84.8
1265,270,88
1265,280,91.3
1265,290,94.5
1265,299,97.5
668,0,0.3
668,1,0.3
668,10,3.3
668,20,6.5
668,30,9.8
668,40,13
668,60,19.6
668,70,22.8
668,80,26.1
668,90,29.3
668,110,35.9
668,120,39.1
668,130,42.4
668,140,45.6
668,160,52.2
668,170,55.4
668,180,58.7
668,190,61.9
668,210,68.5
668,220,71.7
668,230,75
668,240,78.2
668,260,84.8
668,270,88
668,280,91.3
668,290,94.5
668,299,97.5
554,0,0.3
554,1,0.3
554,10,3.3
554,20,6.5
554,30,9.8
554,40,13
554,60,19.6
554,70,22.8
554,80,26.1
554,90,29.3
554,110,35.9
554,120,39.1
554,130,42.4
554,140,45.6
554,160,52.2
554,170,55.4
554,180,58.7
554,190,61.9
554,210,68.5
554,220,71.7
554,230,75
554,240,78.2
554,260,84.8
554,270,88
554,280,91.3
