,curve_id,curve_type
0,985501000,untreated
1,985521000,treated
2,985502000,untreated
3,985503000,untreated
4,985523000,treated
5,985501001,untreated
6,985521001,treated
7,985502001,untreated
8,985522001,treated
9,985503001,untreated
10,985523001,treated
11,985501002,untreated
12,985502002,untreated
13,985522002,treated
14,985503002,untreated
15,985501003,untreated
16,985521003,treated
17,985502003,untreated
18,985522003,treated
19,985503003,untreated
20,985523003,treated
21,985501004,untreated
22,985502004,untreated
23,985522004,treated
24,985503004,untreated
25,985501005,untreated
26,985502005,untreated
27,985522005,treated
28,985503005,untreated
29,985501006,untreated
30,985502006,untreated
31,985522006,treated
32,985503006,untreated
33,985501007,untreated
34,985502007,untreated
35,985522007,treated
36,985503007,untreated
37,985501008,untreated
38,985502008,untreated
39,985522008,treated
40,985503008,untreated
