TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.Area.og2.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.Area.og2.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.Area.og2.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Area.og2.existing,31,false,false,false,1.0,false,false
feature.Area.og2.percent,31,false,false,false,1.0,false,false
feature.Area.og2.total,31,false,false,false,1.0,false,false
feature.Area.managed,31,false,false,false,1.0,false,false
feature.Area.unmanaged,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_CW_PLC_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_CW_YC_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_CW_PLC_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_CW_YC_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_CW_PLC_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_CW_YC_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_CW_PLC_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_CW_YC_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.young,31,false,false,false,1.0,false,false
feature.Seral.immature,31,false,false,false,1.0,false,false
feature.Seral.mature,31,false,false,false,1.0,false,false
feature.Seral.overmature,31,false,false,false,1.0,false,false
feature.Seral.regenerating,31,false,false,false,1.0,false,false
feature.Seral.young,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.BA,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.CW,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.FDC,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.HW,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.PLC,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.SS,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.YC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.BA,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.CW,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.FDC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.HW,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.PLC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.SS,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.YC,31,false,false,false,1.0,false,false
feature.Yield.managed.BA,31,false,false,false,1.0,false,false
feature.Yield.managed.CW,31,false,false,false,1.0,false,false
feature.Yield.managed.FDC,31,false,false,false,1.0,false,false
feature.Yield.managed.HW,31,false,false,false,1.0,false,false
feature.Yield.managed.SS,31,false,false,false,1.0,false,false
feature.Yield.managed.Total,31,false,false,false,1.0,false,false
feature.Yield.managed.YC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.BA,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.CW,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.FDC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.HW,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.PLC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.SS,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.Total,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.YC,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.BA,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.CW,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.FDC,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.HW,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.SS,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.Total,31,true,true,true,1.0,false,false
flow.even.product.Yield.managed.YC,31,false,false,false,1.0,false,false
flow.even.value.nrevenue.total,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.BA,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.CW,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.FDC,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.HW,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.SS,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.Total,31,true,true,false,1.0,false,false
flow.ndy.feature.Yield.managed.YC,31,false,false,false,1.0,false,false
flow.ndy.value.nrevenue.total,31,false,false,false,1.0,false,false
patch.harvested.0_10.area,31,false,false,false,1.0,false,false
patch.harvested.0_10.attractor,31,false,false,false,1.0,false,false
patch.harvested.0_10.blocks,31,false,false,false,1.0,false,false
patch.harvested.0_10.freqpercent,31,false,false,false,1.0,false,false
patch.harvested.0_10.frequency,31,false,false,false,1.0,false,false
patch.harvested.0_10.shape,31,false,false,false,1.0,false,false
patch.harvested.0_10.size,31,false,true,true,1.0,false,false
patch.harvested.0_40.area,31,false,false,false,1.0,false,false
patch.harvested.0_40.attractor,31,false,false,false,1.0,false,false
patch.harvested.0_40.blocks,31,false,false,false,1.0,false,false
patch.harvested.0_40.freqpercent,31,true,true,false,1.0,false,false
patch.harvested.0_40.frequency,31,true,false,true,1.0,false,false
patch.harvested.0_40.shape,31,false,false,false,1.0,false,false
patch.harvested.0_40.size,31,false,true,true,1.0,false,false
patch.harvested.10_20.area,31,false,false,false,1.0,false,false
patch.harvested.10_20.attractor,31,false,false,false,1.0,false,false
patch.harvested.10_20.blocks,31,false,false,false,1.0,false,false
patch.harvested.10_20.freqpercent,31,false,false,false,1.0,false,false
patch.harvested.10_20.frequency,31,false,false,false,1.0,false,false
patch.harvested.10_20.shape,31,false,false,false,1.0,false,false
patch.harvested.10_20.size,31,false,true,true,1.0,false,false
patch.harvested.20_40.area,31,false,false,false,1.0,false,false
patch.harvested.20_40.attractor,31,false,false,false,1.0,false,false
patch.harvested.20_40.blocks,31,false,false,false,1.0,false,false
patch.harvested.20_40.freqpercent,31,false,false,false,1.0,false,false
patch.harvested.20_40.frequency,31,false,false,false,1.0,false,false
patch.harvested.20_40.shape,31,false,false,false,1.0,false,false
patch.harvested.20_40.size,31,false,true,true,1.0,false,false
patch.harvested.40_80.area,31,false,false,false,1.0,false,false
patch.harvested.40_80.attractor,31,false,false,false,1.0,false,false
patch.harvested.40_80.blocks,31,false,false,false,1.0,false,false
patch.harvested.40_80.freqpercent,31,false,false,false,1.0,false,false
patch.harvested.40_80.frequency,31,false,false,false,1.0,false,false
patch.harvested.40_80.shape,31,false,false,false,1.0,false,false
patch.harvested.40_80.size,31,false,true,true,1.0,false,false
patch.harvested.80_250.area,31,false,false,false,1.0,false,false
patch.harvested.80_250.attractor,31,false,false,false,1.0,false,false
patch.harvested.80_250.blocks,31,false,false,false,1.0,false,false
patch.harvested.80_250.freqpercent,31,false,false,false,1.0,false,false
patch.harvested.80_250.frequency,31,false,false,false,1.0,false,false
patch.harvested.80_250.shape,31,false,false,false,1.0,false,false
patch.harvested.80_250.size,31,false,true,true,1.0,false,false
patch.harvested.250_plus.area,31,false,false,false,1.0,false,false
patch.harvested.250_plus.attractor,31,false,false,false,1.0,false,false
patch.harvested.250_plus.blocks,31,false,false,false,1.0,false,false
patch.harvested.250_plus.freqpercent,31,false,false,false,1.0,false,false
patch.harvested.250_plus.frequency,31,false,false,false,1.0,false,false
patch.harvested.250_plus.shape,31,false,false,false,1.0,false,false
patch.harvested.250_plus.size,31,false,true,true,1.0,false,false
patch.harvested.Total.area,31,false,false,false,1.0,false,false
patch.harvested.Total.attractor,31,false,false,false,1.0,false,false
patch.harvested.Total.blocks,31,false,false,false,1.0,false,false
patch.harvested.Total.freqpercent,31,false,false,false,1.0,false,false
patch.harvested.Total.frequency,31,false,false,false,1.0,false,false
patch.harvested.Total.shape,31,false,false,false,1.0,false,false
patch.harvested.Total.size,31,false,true,true,1.0,false,false
product.HarvestedVolume.managed.BA.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.CW.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.FDC.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.HW.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.SS.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.Total.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.YC.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_FDC_HW_H.PCT,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_FDC_HW_M.PCT,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_FDC_H.PCT,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_FDC_HW_H.PCT,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_FDC_HW_M.PCT,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_FDC_H.PCT,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
