CURVE,X,Y
2006,80,50.4
2006,90,57.5
2006,100,64.2
2006,110,70.2
2006,120,75.7
2006,130,80.9
2006,140,85.6
3020,79,0
3020,80,31.9
3020,100,35.3
3020,120,38.3
3020,130,39.7
1275,79,0
1275,80,31.9
1275,100,35.3
1275,120,38.3
1275,130,39.7
834,79,0
834,80,31.9
834,100,35.3
834,120,38.3
834,130,39.7
2522,79,0
2522,80,58.1
2522,90,66.3
2522,100,73.8
2522,110,80.7
2522,120,87.1
2522,130,92.9
840,79,0
840,80,58.1
840,90,66.3
840,100,73.8
840,110,80.7
840,120,87.1
840,130,92.9
3059,79,0
3059,80,50.4
3059,90,57.5
3059,100,64.2
3059,110,70.2
3059,120,75.7
3059,130,80.9
3059,140,85.6
3042,79,0
3042,80,50.4
3042,90,57.5
3042,100,64.2
3042,110,70.2
3042,120,75.7
3042,130,80.9
3042,140,85.6
756,79,0
756,80,50.4
756,90,57.5
756,100,64.2
756,110,70.2
756,120,75.7
756,130,80.9
756,140,85.6
1283,79,0
1283,80,58.1
1283,90,66.3
1283,100,73.8
1283,110,80.7
1283,120,87.1
1283,130,92.9
1132,79,0
1132,80,60.4
1132,90,68.8
1132,100,76.9
1132,110,84
1132,120,90.7
1132,130,96.8
1132,140,102.5
1572,79,0
1572,80,60.4
1572,90,68.8
1572,100,76.9
1572,110,84
1572,120,90.7
1572,130,96.8
1572,140,102.5
688,79,0
688,80,60.4
688,90,68.8
688,100,76.9
688,110,84
688,120,90.7
688,130,96.8
688,140,102.5
3611,79,0
3611,80,58.1
3611,90,66.3
3611,100,73.8
3611,110,80.7
3611,120,87.1
3611,130,92.9
2920,79,0
2920,80,58.1
2920,90,66.3
2920,100,73.8
2920,110,80.7
2920,120,87.1
2920,130,92.9
3024,79,0
3024,80,58.1
3024,90,66.3
3024,100,73.8
3024,110,80.7
3024,120,87.1
3024,130,92.9
1691,79,0
1691,80,58.1
1691,90,66.3
1691,100,73.8
1691,110,80.7
1691,120,87.1
1691,130,92.9
510,79,0
510,80,58.1
510,90,66.3
510,100,73.8
510,110,80.7
510,120,87.1
510,130,92.9
3210,79,0
3210,80,31.9
3210,100,35.3
3210,120,38.3
3210,130,39.7
1686,79,0
1686,80,31.9
1686,100,35.3
1686,120,38.3
1686,130,39.7
499,79,0
499,80,31.9
499,100,35.3
499,120,38.3
499,130,39.7
1575,79,0
1575,80,30.9
1575,110,35.4
1575,120,36.7
1575,140,39.1
1143,79,0
1143,80,30.9
1143,110,35.4
1143,120,36.7
1143,140,39.1
1127,79,0
1127,80,30.9
1127,110,35.4
1127,120,36.7
1127,140,39.1
1062,79,0
1062,80,30.9
1062,110,35.4
1062,120,36.7
1062,140,39.1
340,79,0
340,80,30.9
340,110,35.4
340,120,36.7
340,140,39.1
3101,79,0
3101,80,60.4
3101,90,68.8
3101,100,76.9
3101,110,84
3101,120,90.7
3101,130,96.8
3101,140,102.5
3540,79,0
3540,80,60.4
3540,90,68.8
3540,100,76.9
3540,110,84
3540,120,90.7
3540,130,96.8
3540,140,102.5
2359,79,0
2359,80,60.4
2359,90,68.8
2359,100,76.9
2359,110,84
2359,120,90.7
2359,130,96.8
2359,140,102.5
3146,79,0
3146,80,91.8
3146,90,104.1
3146,100,116
3009,79,0
3009,80,91.8
3009,90,104.1
3009,100,116
2005,79,0
2005,80,100.8
2005,90,115
2005,100,128.4
2005,110,140.4
2005,120,151.5
2005,130,161.7
2005,140,171.2
839,79,0
839,80,116.2
839,90,132.7
839,100,147.6
839,110,161.3
839,120,174.1
839,130,185.7
3058,79,0
3058,80,100.8
3058,90,115
3058,100,128.4
3058,110,140.4
3058,120,151.5
3058,130,161.7
3058,140,171.2
3041,79,0
3041,80,100.8
3041,90,115
3041,100,128.4
3041,110,140.4
3041,120,151.5
3041,130,161.7
3041,140,171.2
755,79,0
755,80,100.8
755,90,115
755,100,128.4
755,110,140.4
755,120,151.5
755,130,161.7
755,140,171.2
3603,79,0
3603,80,75.6
3603,90,86.2
3603,100,95.9
3603,110,104.8
3603,120,113.2
3603,130,120.7
3034,79,0
3034,80,75.6
3034,90,86.2
3034,100,96.3
3034,110,105.3
3034,120,113.6
3034,130,121.3
3034,140,128.4
3207,79,0
3207,80,75.6
3207,90,86.2
3207,100,95.9
3207,110,104.8
3207,120,113.2
3207,130,120.7
3018,79,0
3018,80,75.6
3018,90,86.2
3018,100,95.9
3018,110,104.8
3018,120,113.2
3018,130,120.7
1683,79,0
1683,80,75.6
1683,90,86.2
1683,100,95.9
1683,110,104.8
1683,120,113.2
1683,130,120.7
1997,79,0
1997,80,75.6
1997,90,86.2
1997,100,96.3
1997,110,105.3
1997,120,113.6
1997,130,121.3
1997,140,128.4
1272,79,0
1272,80,75.6
1272,90,86.2
1272,100,95.9
1272,110,104.8
1272,120,113.2
1272,130,120.7
746,79,0
746,80,75.6
746,90,86.2
746,100,96.3
746,110,105.3
746,120,113.6
746,130,121.3
746,140,128.4
1282,79,0
1282,80,116.2
1282,90,132.7
1282,100,147.6
1282,110,161.3
1282,120,174.1
1282,130,185.7
1131,79,0
1131,80,120.8
1131,90,137.7
1131,100,153.8
1131,110,168.1
1131,120,181.4
1131,130,193.6
1131,140,205
1571,79,0
1571,80,120.8
1571,90,137.7
1571,100,153.8
1571,110,168.1
1571,120,181.4
1571,130,193.6
1571,140,205
687,79,0
687,80,120.8
687,90,137.7
687,100,153.8
687,110,168.1
687,120,181.4
687,130,193.6
687,140,205
3610,79,0
3610,80,116.2
3610,90,132.7
3610,100,147.6
3610,110,161.3
3610,120,174.1
3610,130,185.7
2919,79,0
2919,80,116.2
2919,90,132.7
2919,100,147.6
2919,110,161.3
2919,120,174.1
2919,130,185.7
3214,79,0
3214,80,116.2
3214,90,132.7
3214,100,147.6
3214,110,161.3
3214,120,174.1
3214,130,185.7
1690,79,0
1690,80,116.2
1690,90,132.7
1690,100,147.6
1690,110,161.3
1690,120,174.1
1690,130,185.7
509,79,0
509,80,116.2
509,90,132.7
509,100,147.6
509,110,161.3
509,120,174.1
509,130,185.7
831,79,0
831,80,75.6
831,90,86.2
831,100,95.9
831,110,104.8
831,120,113.2
831,130,120.7
3052,79,0
3052,80,75.6
3052,90,86.2
3052,100,96.3
3052,110,105.3
3052,120,113.6
3052,130,121.3
3052,140,128.4
496,79,0
496,80,75.6
496,90,86.2
496,100,95.9
496,110,104.8
496,120,113.2
496,130,120.7
3530,79,0
3530,80,60.4
3530,90,68.8
3530,100,76.9
3530,110,84
3530,120,90.7
3530,130,96.8
3530,140,102.5
3227,79,0
3227,80,60.4
3227,90,68.8
3227,100,76.9
3227,110,84
3227,120,90.7
3227,130,96.8
3227,140,102.5
1927,79,0
1927,80,60.4
1927,90,68.8
1927,100,76.9
1927,110,84
1927,120,90.7
1927,130,96.8
1927,140,102.5
1148,79,0
1148,80,60.4
1148,90,68.8
1148,100,76.9
1148,110,84
1148,120,90.7
1148,130,96.8
1148,140,102.5
3660,79,0
3660,80,60.4
3660,90,68.8
3660,100,76.9
3660,110,84
3660,120,90.7
3660,130,96.8
3660,140,102.5
536,79,0
536,80,60.4
536,90,68.8
536,100,76.9
536,110,84
536,120,90.7
536,130,96.8
536,140,102.5
337,79,0
337,80,60.4
337,90,68.8
337,100,76.9
337,110,84
337,120,90.7
337,130,96.8
337,140,102.5
3539,79,0
3539,80,120.8
3539,90,137.7
3539,100,153.8
3539,110,168.1
3539,120,181.4
3539,130,193.6
3539,140,205
3100,79,0
3100,80,120.8
3100,90,137.7
3100,100,153.8
3100,110,168.1
3100,120,181.4
3100,130,193.6
3100,140,205
2358,79,0
2358,80,120.8
2358,90,137.7
2358,100,153.8
2358,110,168.1
2358,120,181.4
2358,130,193.6
2358,140,205
3145,79,0
3145,80,183.6
3145,90,208.2
3145,100,232
3008,79,0
3008,80,183.6
3008,90,208.2
3008,100,232
3000,79,0
3000,80,211.1
3000,90,239.5
3000,100,266.8
3215,79,0
3215,80,406.9
3215,90,464.4
3215,100,516.5
3215,110,564.5
3215,120,609.5
3215,130,650
3025,79,0
3025,80,406.9
3025,90,464.4
3025,100,516.5
3025,110,564.5
3025,120,609.5
3025,130,650
841,79,0
841,80,406.9
841,90,464.4
841,100,516.5
841,110,564.5
841,120,609.5
841,130,650
3060,79,0
3060,80,353
3060,90,402.4
3060,100,449.6
3060,110,491.2
3060,120,530.2
3060,130,565.9
3060,140,599.1
3043,79,0
3043,80,353
3043,90,402.4
3043,100,449.6
3043,110,491.2
3043,120,530.2
3043,130,565.9
3043,140,599.1
2007,79,0
2007,80,353
2007,90,402.4
2007,100,449.6
2007,110,491.2
2007,120,530.2
2007,130,565.9
2007,140,599.1
757,79,0
757,80,353
757,90,402.4
757,100,449.6
757,110,491.2
757,120,530.2
757,130,565.9
757,140,599.1
3093,79,0
3093,80,138.9
3093,90,158.3
3093,100,176.8
3093,110,193.3
3093,120,208.6
3093,130,222.7
3093,140,235.7
1059,79,0
1059,80,138.9
1059,90,158.3
1059,100,176.8
1059,110,193.3
1059,120,208.6
1059,130,222.7
1059,140,235.7
678,79,0
678,80,138.9
678,90,158.3
678,100,176.8
678,110,193.3
678,120,208.6
678,130,222.7
678,140,235.7
3654,79,0
3654,80,138.9
3654,90,158.3
3654,100,176.8
3654,110,193.3
3654,120,208.6
3654,130,222.7
3654,140,235.7
1124,79,0
1124,80,138.9
1124,90,158.3
1124,100,176.8
1124,110,193.3
1124,120,208.6
1124,130,222.7
1124,140,235.7
3522,79,0
3522,80,138.9
3522,90,158.3
3522,100,176.8
3522,110,193.3
3522,120,208.6
3522,130,222.7
3522,140,235.7
1141,79,0
1141,80,138.9
1141,90,158.3
1141,100,176.8
1141,110,193.3
1141,120,208.6
1141,130,222.7
1141,140,235.7
526,79,0
526,80,138.9
526,90,158.3
526,100,176.8
526,110,193.3
526,120,208.6
526,130,222.7
526,140,235.7
3612,79,0
3612,80,406.9
3612,90,464.4
3612,100,516.5
3612,110,564.5
3612,120,609.5
3612,130,650
2921,79,0
2921,80,406.9
2921,90,464.4
2921,100,516.5
2921,110,564.5
2921,120,609.5
2921,130,650
1284,79,0
1284,80,406.9
1284,90,464.4
1284,100,516.5
1284,110,564.5
1284,120,609.5
1284,130,650
712,79,0
712,80,422.6
712,90,481.8
712,100,538.2
712,110,588.3
712,120,634.8
712,130,677.7
712,140,717.4
3084,79,0
3084,80,422.6
3084,90,481.8
3084,100,538.2
3084,110,588.3
3084,120,634.8
3084,130,677.7
3084,140,717.4
689,79,0
689,80,422.6
689,90,481.8
689,100,538.2
689,110,588.3
689,120,634.8
689,130,677.7
689,140,717.4
1692,79,0
1692,80,406.9
1692,90,464.4
1692,100,516.5
1692,110,564.5
1692,120,609.5
1692,130,650
511,79,0
511,80,406.9
511,90,464.4
511,100,516.5
511,110,564.5
511,120,609.5
511,130,650
3053,79,0
3053,80,428.6
3053,90,488.7
3053,100,545.9
3053,110,596.5
3053,120,643.8
3053,130,687.2
3053,140,727.5
1125,79,0
1125,80,464.9
1125,90,530
1125,100,592.1
1125,110,647.1
1125,120,698.3
1125,130,745.4
1125,140,789.2
1998,79,0
1998,80,428.6
1998,90,488.7
1998,100,545.9
1998,110,596.5
1998,120,643.8
1998,130,687.2
1998,140,727.5
3035,79,0
3035,80,428.6
3035,90,488.7
3035,100,545.9
3035,110,596.5
3035,120,643.8
3035,130,687.2
3035,140,727.5
747,79,0
747,80,428.6
747,90,488.7
747,100,545.9
747,110,596.5
747,120,643.8
747,130,687.2
747,140,727.5
3541,79,0
3541,80,422.6
3541,90,481.8
3541,100,538.2
3541,110,588.3
3541,120,634.8
3541,130,677.7
3541,140,717.4
1149,79,0
1149,80,422.6
1149,90,481.8
1149,100,538.2
1149,110,588.3
1149,120,634.8
1149,130,677.7
1149,140,717.4
537,79,0
537,80,422.6
537,90,481.8
537,100,538.2
537,110,588.3
537,120,634.8
537,130,677.7
537,140,717.4
3036,79,0
3036,80,504.2
3036,90,574.9
3036,100,642.2
3036,110,701.8
3036,120,757.4
3036,130,808.5
3036,140,855.9
3054,79,0
3054,80,504.2
3054,90,574.9
3054,100,642.2
3054,110,701.8
3054,120,757.4
3054,130,808.5
3054,140,855.9
1999,79,0
1999,80,504.2
1999,90,574.9
1999,100,642.2
1999,110,701.8
1999,120,757.4
1999,130,808.5
1999,140,855.9
1060,79,0
1060,80,464.9
1060,90,530
1060,100,592.1
1060,110,647.1
1060,120,698.3
1060,130,745.4
1060,140,789.2
748,79,0
748,80,504.2
748,90,574.9
748,100,642.2
748,110,701.8
748,120,757.4
748,130,808.5
748,140,855.9
3094,79,0
3094,80,464.9
3094,90,530
3094,100,592.1
3094,110,647.1
3094,120,698.3
3094,130,745.4
3094,140,789.2
3523,79,0
3523,80,464.9
3523,90,530
3523,100,592.1
3523,110,647.1
3523,120,698.3
3523,130,745.4
3523,140,789.2
527,79,0
527,80,464.9
527,90,530
527,100,592.1
527,110,647.1
527,120,698.3
527,130,745.4
527,140,789.2
3604,79,0
3604,80,505.6
3604,90,577.2
3604,100,642
3604,110,701.7
3604,120,757.5
3604,130,807.9
2913,79,0
2913,80,505.6
2913,90,577.2
2913,100,642
2913,110,701.7
2913,120,757.5
2913,130,807.9
3208,79,0
3208,80,505.6
3208,90,577.2
3208,100,642
3208,110,701.7
3208,120,757.5
3208,130,807.9
3019,79,0
3019,80,505.6
3019,90,577.2
3019,100,642
3019,110,701.7
3019,120,757.5
3019,130,807.9
1273,79,0
1273,80,505.6
1273,90,577.2
1273,100,642
1273,110,701.7
1273,120,757.5
1273,130,807.9
3605,79,0
3605,80,581.2
3605,90,663.4
3605,100,737.9
3605,110,806.5
3605,120,870.7
3605,130,928.6
3209,79,0
3209,80,581.2
3209,90,663.4
3209,100,737.9
3209,110,806.5
3209,120,870.7
3209,130,928.6
2519,79,0
2519,80,581.2
2519,90,663.4
2519,100,737.9
2519,110,806.5
2519,120,870.7
2519,130,928.6
1685,79,0
1685,80,581.2
1685,90,663.4
1685,100,737.9
1685,110,806.5
1685,120,870.7
1685,130,928.6
1274,79,0
1274,80,581.2
1274,90,663.4
1274,100,737.9
1274,110,806.5
1274,120,870.7
1274,130,928.6
833,79,0
833,80,581.2
833,90,663.4
833,100,737.9
833,110,806.5
833,120,870.7
833,130,928.6
498,79,0
498,80,581.2
498,90,663.4
498,100,737.9
498,110,806.5
498,120,870.7
498,130,928.6
1684,79,0
1684,80,505.6
1684,90,577.2
1684,100,642
1684,110,701.7
1684,120,757.5
1684,130,807.9
832,79,0
832,80,505.6
832,90,577.2
832,100,642
832,110,701.7
832,120,757.5
832,130,807.9
497,79,0
497,80,505.6
497,90,577.2
497,100,642
497,110,701.7
497,120,757.5
497,130,807.9
3010,79,0
3010,80,642.4
3010,90,728.8
3010,100,811.9
3001,79,0
3001,80,917.8
3001,90,1041.1
3001,100,1159.9
2999,79,0
2999,80,706.7
2999,90,801.6
2999,100,893.1
1574,79,0
1574,80,603.8
1574,90,688.3
1574,100,768.9
1574,110,840.4
1574,120,906.9
1574,130,968.1
1574,140,1024.9
713,79,0
713,80,603.8
713,90,688.3
713,100,768.9
713,110,840.4
713,120,906.9
713,130,968.1
713,140,1024.9
679,79,0
679,80,603.8
679,90,688.3
679,100,768.9
679,110,840.4
679,120,906.9
679,130,968.1
679,140,1024.9
1061,79,0
1061,80,603.8
1061,90,688.3
1061,100,768.9
1061,110,840.4
1061,120,906.9
1061,130,968.1
1061,140,1024.9
3085,79,0
3085,80,603.8
3085,90,688.3
3085,100,768.9
3085,110,840.4
3085,120,906.9
3085,130,968.1
3085,140,1024.9
1126,79,0
1126,80,603.8
1126,90,688.3
1126,100,768.9
1126,110,840.4
1126,120,906.9
1126,130,968.1
1126,140,1024.9
3524,79,0
3524,80,603.8
3524,90,688.3
3524,100,768.9
3524,110,840.4
3524,120,906.9
3524,130,968.1
3524,140,1024.9
3257,79,0
3257,80,603.8
3257,90,688.3
3257,100,768.9
