TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,30,756,CC,false,2,A,0,0,,0,
4,54,756,CC,false,4,A,0,0,,0,
6,82,756,CC,false,6,A,0,0,,0,
7,58,756,CC,false,7,A,0,0,,0,
9,30,756,CC,false,9,A,0,0,,0,
10,90,756,CC,false,11,A,0,0,,0,
11,90,756,CC,false,11,A,0,0,,0,
13,94,756,CC,false,13,A,0,0,,0,
16,58,756,CC,false,16,A,0,0,,0,
17,58,756,CC,false,17,A,0,0,,0,
19,58,756,CC,false,19,A,0,0,,0,
21,58,756,CC,false,21,A,0,0,,0,
23,58,756,CC,false,23,A,0,0,,0,
25,78,756,CC,false,26,A,0,0,,0,
26,78,756,CC,false,26,A,0,0,,0,
27,62,756,CC,false,28,A,0,0,,0,
28,62,756,CC,false,28,A,0,0,,0,
30,58,756,CC,false,31,A,0,0,,0,
31,58,756,CC,false,31,A,0,0,,0,
33,82,756,CC,false,34,A,0,0,,0,
34,82,756,CC,false,34,A,0,0,,0,
36,54,756,CC,false,36,A,0,0,,0,
38,58,756,CC,false,39,A,0,0,,0,
39,58,756,CC,false,39,A,0,0,,0,
40,54,756,CC,false,40,A,0,0,,0,
42,58,756,CC,false,43,A,0,0,,0,
43,58,756,CC,false,43,A,0,0,,0,
46,58,756,CC,false,46,A,0,0,,0,
48,58,756,CC,false,48,A,0,0,,0,
50,66,756,CC,false,51,A,0,0,,0,
51,66,756,CC,false,51,A,0,0,,0,
52,58,756,CC,false,52,A,0,0,,0,
54,58,756,CC,false,54,A,0,0,,0,
56,78,756,CC,false,57,A,0,0,,0,
57,78,756,CC,false,57,A,0,0,,0,
58,94,756,CC,false,59,A,0,0,,0,
59,94,756,CC,false,59,A,0,0,,0,
61,90,756,CC,false,62,A,0,0,,0,
62,90,756,CC,false,62,A,0,0,,0,
63,82,756,CC,false,64,A,0,0,,0,
64,82,756,CC,false,64,A,0,0,,0,
66,58,756,CC,false,66,A,0,0,,0,
67,58,756,CC,false,17,A,0,0,,0,
69,30,756,CC,false,69,A,0,0,,0,
71,94,756,CC,false,71,A,0,0,,0,
72,78,756,CC,false,73,A,0,0,,0,
73,78,756,CC,false,73,A,0,0,,0,
75,62,756,CC,false,76,A,0,0,,0,
76,62,756,CC,false,76,A,0,0,,0,
78,30,756,CC,false,78,A,0,0,,0,
80,30,756,CC,false,80,A,0,0,,0,
82,94,756,CC,false,82,A,0,0,,0,
84,62,756,CC,false,85,A,0,0,,0,
85,62,756,CC,false,85,A,0,0,,0,
87,58,756,CC,false,7,A,0,0,,0,
89,62,756,CC,false,90,A,0,0,,0,
90,62,756,CC,false,90,A,0,0,,0,
92,58,756,CC,false,92,A,0,0,,0,
94,58,756,CC,false,94,A,0,0,,0,
96,58,756,CC,false,96,A,0,0,,0,
98,62,756,CC,false,99,A,0,0,,0,
99,62,756,CC,false,99,A,0,0,,0,
101,58,756,CC,false,102,A,0,0,,0,
102,58,756,CC,false,102,A,0,0,,0,
105,58,756,CC,false,105,A,0,0,,0,
107,62,756,CC,false,107,A,0,0,,0,
109,58,756,CC,false,109,A,0,0,,0,
111,58,756,CC,false,111,A,0,0,,0,
113,78,756,CC,false,114,A,0,0,,0,
114,78,756,CC,false,114,A,0,0,,0,
116,62,756,CC,false,117,A,0,0,,0,
117,62,756,CC,false,117,A,0,0,,0,
119,78,756,CC,false,119,A,0,0,,0,
121,82,756,CC,false,122,A,0,0,,0,
122,82,756,CC,false,122,A,0,0,,0,
124,58,756,CC,false,124,A,0,0,,0,
126,58,756,CC,false,126,A,0,0,,0,
128,58,756,CC,false,129,A,0,0,,0,
129,58,756,CC,false,129,A,0,0,,0,
131,58,756,CC,false,131,A,0,0,,0,
133,66,756,CC,false,134,A,0,0,,0,
134,66,756,CC,false,134,A,0,0,,0,
136,62,756,CC,false,137,A,0,0,,0,
137,62,756,CC,false,137,A,0,0,,0,
139,54,756,CC,false,139,A,0,0,,0,
141,90,756,CC,false,142,A,0,0,,0,
142,90,756,CC,false,142,A,0,0,,0,
144,58,756,CC,false,144,A,0,0,,0,
146,62,756,CC,false,147,A,0,0,,0,
147,62,756,CC,false,147,A,0,0,,0,
149,66,756,CC,false,150,A,0,0,,0,
150,66,756,CC,false,150,A,0,0,,0,
152,30,756,CC,false,152,A,0,0,,0,
154,62,756,CC,false,155,A,0,0,,0,
155,62,756,CC,false,155,A,0,0,,0,
157,58,756,CC,false,157,A,0,0,,0,
159,58,756,CC,false,160,A,0,0,,0,
160,58,756,CC,false,160,A,0,0,,0,
162,58,756,CC,false,162,A,0,0,,0,
164,54,756,CC,false,164,A,0,0,,0,
166,82,756,CC,false,167,A,0,0,,0,
167,82,756,CC,false,167,A,0,0,,0,
170,58,756,CC,false,170,A,0,0,,0,
172,58,756,CC,false,172,A,0,0,,0,
174,30,756,CC,false,174,A,0,0,,0,
176,78,756,CC,false,177,A,0,0,,0,
177,78,756,CC,false,177,A,0,0,,0,
179,58,756,CC,false,179,A,0,0,,0,
181,78,756,CC,false,181,A,0,0,,0,
183,54,756,CC,false,183,A,0,0,,0,
185,58,756,CC,false,185,A,0,0,,0,
187,94,756,CC,false,188,A,0,0,,0,
188,94,756,CC,false,188,A,0,0,,0,
190,58,756,CC,false,191,A,0,0,,0,
191,58,756,CC,false,191,A,0,0,,0,
193,30,756,CC,false,193,A,0,0,,0,
195,54,756,CC,false,195,A,0,0,,0,
197,58,756,CC,false,197,A,0,0,,0,
199,82,756,CC,false,199,A,0,0,,0,
201,30,756,CC,false,201,A,0,0,,0,
203,62,756,CC,false,204,A,0,0,,0,
204,62,756,CC,false,204,A,0,0,,0,
206,78,756,CC,false,207,A,0,0,,0,
207,78,756,CC,false,207,A,0,0,,0,
209,30,756,CC,false,209,A,0,0,,0,
211,58,756,CC,false,212,A,0,0,,0,
212,58,756,CC,false,212,A,0,0,,0,
214,78,756,CC,false,215,A,0,0,,0,
215,78,756,CC,false,215,A,0,0,,0,
217,66,756,CC,false,218,A,0,0,,0,
218,66,756,CC,false,218,A,0,0,,0,
220,66,756,CC,false,221,A,0,0,,0,
221,66,756,CC,false,221,A,0,0,,0,
223,54,756,CC,false,223,A,0,0,,0,
225,58,756,CC,false,225,A,0,0,,0,
227,58,756,CC,false,228,A,0,0,,0,
228,58,756,CC,false,228,A,0,0,,0,
230,94,756,CC,false,231,A,0,0,,0,
231,94,756,CC,false,231,A,0,0,,0,
233,58,756,CC,false,234,A,0,0,,0,
234,58,756,CC,false,234,A,0,0,,0,
235,58,756,CC,false,235,A,0,0,,0,
237,82,756,CC,false,238,A,0,0,,0,
238,82,756,CC,false,238,A,0,0,,0,
240,78,756,CC,false,241,A,0,0,,0,
241,78,756,CC,false,241,A,0,0,,0,
243,58,756,CC,false,243,A,0,0,,0,
244,30,756,CC,false,244,A,0,0,,0,
246,58,756,CC,false,247,A,0,0,,0,
247,58,756,CC,false,247,A,0,0,,0,
249,58,756,CC,false,249,A,0,0,,0,
251,58,756,CC,false,251,A,0,0,,0,
253,58,756,CC,false,254,A,0,0,,0,
254,58,756,CC,false,254,A,0,0,,0,
256,58,756,CC,false,256,A,0,0,,0,
258,58,756,CC,false,258,A,0,0,,0,
260,58,756,CC,false,260,A,0,0,,0,
262,58,756,CC,false,262,A,0,0,,0,
264,58,756,CC,false,264,A,0,0,,0,
265,54,756,CC,false,40,A,0,0,,0,
267,58,756,CC,false,268,A,0,0,,0,
268,58,756,CC,false,268,A,0,0,,0,
270,94,756,CC,false,270,A,0,0,,0,
272,54,756,CC,false,272,A,0,0,,0,
274,58,756,CC,false,274,A,0,0,,0,
276,58,756,CC,false,276,A,0,0,,0,
279,82,756,CC,false,280,A,0,0,,0,
280,82,756,CC,false,280,A,0,0,,0,
282,78,756,CC,false,283,A,0,0,,0,
283,78,756,CC,false,283,A,0,0,,0,
285,58,756,CC,false,286,A,0,0,,0,
286,58,756,CC,false,286,A,0,0,,0,
288,58,756,CC,false,288,A,0,0,,0,
