BLOCK,DELTA,AGE,TYPE,TREATMENT
1,91,148,MANAGED,CC
1,230,139,MANAGED,CC
2,33,90,MANAGED,CC
2,131,98,MANAGED,CC
2,220,89,MANAGED,CC
3,121,158,MANAGED,CC
3,242,121,MANAGED,CC
4,21,78,MANAGED,CC
4,101,80,MANAGED,CC
4,190,89,MANAGED,CC
4,270,80,MANAGED,CC
5,91,138,MANAGED,CC
5,230,139,MANAGED,CC
6,101,188,MANAGED,CC
6,220,119,MANAGED,CC
7,81,138,MANAGED,CC
7,180,99,MANAGED,CC
8,1,278,MANAGED,CC
8,221,220,MANAGED,CC
9,31,88,MANAGED,CC
9,121,90,MANAGED,CC
9,211,90,MANAGED,CC
9,300,89,MANAGED,CC
10,1,308,MANAGED,CC
10,184,183,MANAGED,CC
10,300,116,MANAGED,CC
11,81,138,MANAGED,CC
11,200,119,MANAGED,CC
11,290,90,MANAGED,CC
12,43,90,MANAGED,CC
12,133,90,MANAGED,CC
12,223,90,MANAGED,CC
13,61,108,MANAGED,CC
13,151,90,MANAGED,CC
13,240,89,MANAGED,CC
14,81,128,MANAGED,CC
14,191,110,MANAGED,CC
14,281,90,MANAGED,CC
15,1,128,MANAGED,CC
15,101,100,MANAGED,CC
15,217,116,MANAGED,CC
15,300,83,MANAGED,CC
16,41,168,MANAGED,CC
16,184,143,MANAGED,CC
16,300,116,MANAGED,CC
17,71,138,MANAGED,CC
17,170,99,MANAGED,CC
17,280,110,MANAGED,CC
18,81,488,MANAGED,CC
18,200,119,MANAGED,CC
19,41,168,MANAGED,CC
19,141,100,MANAGED,CC
19,239,98,MANAGED,CC
20,61,108,MANAGED,CC
20,159,98,MANAGED,CC
20,271,112,MANAGED,CC
21,23,90,MANAGED,CC
21,131,108,MANAGED,CC
21,221,90,MANAGED,CC
22,31,88,MANAGED,CC
22,121,90,MANAGED,CC
22,210,89,MANAGED,CC
22,290,80,MANAGED,CC
23,21,148,MANAGED,CC
23,131,110,MANAGED,CC
23,240,109,MANAGED,CC
24,61,338,MANAGED,CC
24,270,209,MANAGED,CC
25,71,128,MANAGED,CC
25,202,131,MANAGED,CC
25,300,98,MANAGED,CC
26,41,88,MANAGED,CC
26,111,70,MANAGED,CC
26,200,89,MANAGED,CC
26,270,70,MANAGED,CC
27,1,208,MANAGED,CC
27,114,113,MANAGED,CC
27,228,114,MANAGED,CC
28,30,87,MANAGED,CC
28,121,91,MANAGED,CC
28,221,100,MANAGED,CC
29,31,88,MANAGED,CC
29,121,90,MANAGED,CC
29,210,89,MANAGED,CC
29,290,80,MANAGED,CC
30,21,128,MANAGED,CC
30,133,112,MANAGED,CC
30,240,107,MANAGED,CC
31,1,358,MANAGED,CC
31,161,160,MANAGED,CC
31,280,119,MANAGED,CC
32,61,338,MANAGED,CC
32,180,119,MANAGED,CC
32,300,120,MANAGED,CC
33,1,128,MANAGED,CC
33,119,118,MANAGED,CC
33,241,122,MANAGED,CC
34,1,238,MANAGED,CC
34,121,120,MANAGED,CC
34,230,109,MANAGED,CC
35,33,90,MANAGED,CC
35,131,98,MANAGED,CC
35,221,90,MANAGED,CC
36,51,98,MANAGED,CC
36,161,110,MANAGED,CC
36,250,89,MANAGED,CC
37,71,198,MANAGED,CC
37,200,129,MANAGED,CC
37,300,100,MANAGED,CC
38,1,408,MANAGED,CC
38,161,160,MANAGED,CC
38,280,119,MANAGED,CC
39,71,118,MANAGED,CC
39,180,109,MANAGED,CC
39,300,120,MANAGED,CC
40,71,308,MANAGED,CC
40,210,139,MANAGED,CC
41,32,89,MANAGED,CC
41,122,90,MANAGED,CC
41,212,90,MANAGED,CC
41,300,88,MANAGED,CC
42,11,138,MANAGED,CC
42,141,130,MANAGED,CC
42,240,99,MANAGED,CC
43,111,158,MANAGED,CC
43,230,119,MANAGED,CC
44,31,88,MANAGED,CC
44,121,90,MANAGED,CC
44,210,89,MANAGED,CC
44,290,80,MANAGED,CC
45,11,118,MANAGED,CC
45,114,103,MANAGED,CC
45,230,116,MANAGED,CC
