TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,30,756,CC,false,2,A,0,0,,0,
4,54,756,CC,false,4,A,0,0,,0,
4,10,10,PCT_HEAVY,false,5,A,0,0,,0,
4,10,10,PCT_LIGHT,false,6,A,0,0,,0,
4,10,10,PCT_MODERATE,false,7,A,0,0,,0,
5,54,756,CC,false,4,A,0,0,,0,
5,40,40,CT,false,8,A,0,0,,0,
8,54,756,CC,false,4,A,0,0,,0,
6,54,756,CC,false,4,A,0,0,,0,
6,40,40,CT,false,9,A,0,0,,0,
9,54,756,CC,false,4,A,0,0,,0,
7,54,756,CC,false,4,A,0,0,,0,
7,40,40,CT,false,10,A,0,0,,0,
10,54,756,CC,false,4,A,0,0,,0,
12,82,756,CC,false,12,A,0,0,,0,
14,58,756,CC,false,14,A,0,0,,0,
14,10,10,PCT_HEAVY,false,15,A,0,0,,0,
14,10,10,PCT_LIGHT,false,16,A,0,0,,0,
14,10,10,PCT_MODERATE,false,17,A,0,0,,0,
15,58,756,CC,false,14,A,0,0,,0,
15,40,40,CT,false,18,A,0,0,,0,
18,58,756,CC,false,14,A,0,0,,0,
16,58,756,CC,false,14,A,0,0,,0,
16,40,40,CT,false,19,A,0,0,,0,
19,58,756,CC,false,14,A,0,0,,0,
17,58,756,CC,false,14,A,0,0,,0,
17,40,40,CT,false,20,A,0,0,,0,
20,58,756,CC,false,14,A,0,0,,0,
22,90,756,CC,false,23,A,0,0,,0,
23,90,756,CC,false,23,A,0,0,,0,
25,94,756,CC,false,25,A,0,0,,0,
27,62,756,CC,false,28,A,0,0,,0,
28,62,756,CC,false,28,A,0,0,,0,
30,58,756,CC,false,30,A,0,0,,0,
32,58,756,CC,false,32,A,0,0,,0,
32,10,10,PCT_HEAVY,false,33,A,0,0,,0,
32,10,10,PCT_LIGHT,false,34,A,0,0,,0,
32,10,10,PCT_MODERATE,false,35,A,0,0,,0,
33,58,756,CC,false,32,A,0,0,,0,
33,40,40,CT,false,36,A,0,0,,0,
36,58,756,CC,false,32,A,0,0,,0,
34,58,756,CC,false,32,A,0,0,,0,
34,40,40,CT,false,37,A,0,0,,0,
37,58,756,CC,false,32,A,0,0,,0,
35,58,756,CC,false,32,A,0,0,,0,
35,40,40,CT,false,38,A,0,0,,0,
38,58,756,CC,false,32,A,0,0,,0,
40,78,756,CC,false,41,A,0,0,,0,
41,78,756,CC,false,41,A,0,0,,0,
43,58,756,CC,false,30,A,0,0,,0,
45,82,756,CC,false,12,A,0,0,,0,
47,58,756,CC,false,14,A,0,0,,0,
49,74,756,CC,false,50,A,0,0,,0,
50,74,756,CC,false,50,A,0,0,,0,
52,66,756,CC,false,53,A,0,0,,0,
53,66,756,CC,false,53,A,0,0,,0,
55,94,756,CC,false,25,A,0,0,,0,
58,66,756,CC,false,59,A,0,0,,0,
59,66,756,CC,false,59,A,0,0,,0,
61,58,756,CC,false,32,A,0,0,,0,
64,58,756,CC,false,65,A,0,0,,0,
65,58,756,CC,false,65,A,0,0,,0,
68,54,756,CC,false,4,A,0,0,,0,
