GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.Area.managed,feature.Area.managed,1
_ALL_,feature.Area.og1.985501000,feature.Area.og1.985501000,1
_ALL_,feature.Area.og1.985501001,feature.Area.og1.985501001,1
_ALL_,feature.Area.og1.985501003,feature.Area.og1.985501003,1
_ALL_,feature.Area.og1.985502001,feature.Area.og1.985502001,1
_ALL_,feature.Area.og1.985502002,feature.Area.og1.985502002,1
_ALL_,feature.Area.og1.985502003,feature.Area.og1.985502003,1
_ALL_,feature.Area.og1.985502004,feature.Area.og1.985502004,1
_ALL_,feature.Area.og1.985502005,feature.Area.og1.985502005,1
_ALL_,feature.Area.og1.985502006,feature.Area.og1.985502006,1
_ALL_,feature.Area.og1.985502007,feature.Area.og1.985502007,1
_ALL_,feature.Area.og1.985502008,feature.Area.og1.985502008,1
_ALL_,feature.Area.og1.985503000,feature.Area.og1.985503000,1
_ALL_,feature.Area.og1.985503001,feature.Area.og1.985503001,1
_ALL_,feature.Area.og1.985503003,feature.Area.og1.985503003,1
_ALL_,feature.Area.og1.total,feature.Area.og1.total,1
_ALL_,feature.Area.og2.985501000,feature.Area.og2.985501000,1
_ALL_,feature.Area.og2.985501001,feature.Area.og2.985501001,1
_ALL_,feature.Area.og2.985501003,feature.Area.og2.985501003,1
_ALL_,feature.Area.og2.985502001,feature.Area.og2.985502001,1
_ALL_,feature.Area.og2.985502002,feature.Area.og2.985502002,1
_ALL_,feature.Area.og2.985502003,feature.Area.og2.985502003,1
_ALL_,feature.Area.og2.985502004,feature.Area.og2.985502004,1
_ALL_,feature.Area.og2.985502005,feature.Area.og2.985502005,1
_ALL_,feature.Area.og2.985502006,feature.Area.og2.985502006,1
_ALL_,feature.Area.og2.985502007,feature.Area.og2.985502007,1
_ALL_,feature.Area.og2.985502008,feature.Area.og2.985502008,1
_ALL_,feature.Area.og2.985503000,feature.Area.og2.985503000,1
_ALL_,feature.Area.og2.985503001,feature.Area.og2.985503001,1
_ALL_,feature.Area.og2.985503003,feature.Area.og2.985503003,1
_ALL_,feature.Area.og2.total,feature.Area.og2.total,1
_UNMANAGED_,feature.Area.unmanaged,feature.Area.unmanaged,1
_MANAGED_,feature.QMD.managed.985501000,feature.QMD.managed.985501000,1
_MANAGED_,feature.QMD.managed.985501001,feature.QMD.managed.985501001,1
_MANAGED_,feature.QMD.managed.985501003,feature.QMD.managed.985501003,1
_MANAGED_,feature.QMD.managed.985502001,feature.QMD.managed.985502001,1
_MANAGED_,feature.QMD.managed.985502002,feature.QMD.managed.985502002,1
_MANAGED_,feature.QMD.managed.985502003,feature.QMD.managed.985502003,1
_MANAGED_,feature.QMD.managed.985502004,feature.QMD.managed.985502004,1
_MANAGED_,feature.QMD.managed.985502005,feature.QMD.managed.985502005,1
_MANAGED_,feature.QMD.managed.985502006,feature.QMD.managed.985502006,1
_MANAGED_,feature.QMD.managed.985502007,feature.QMD.managed.985502007,1
_MANAGED_,feature.QMD.managed.985502008,feature.QMD.managed.985502008,1
_MANAGED_,feature.QMD.managed.985503000,feature.QMD.managed.985503000,1
_MANAGED_,feature.QMD.managed.985503001,feature.QMD.managed.985503001,1
_MANAGED_,feature.QMD.managed.985503003,feature.QMD.managed.985503003,1
_UNMANAGED_,feature.QMD.unmanaged.985501000,feature.QMD.unmanaged.985501000,1
_UNMANAGED_,feature.QMD.unmanaged.985501001,feature.QMD.unmanaged.985501001,1
_UNMANAGED_,feature.QMD.unmanaged.985501003,feature.QMD.unmanaged.985501003,1
_UNMANAGED_,feature.QMD.unmanaged.985502001,feature.QMD.unmanaged.985502001,1
_UNMANAGED_,feature.QMD.unmanaged.985502002,feature.QMD.unmanaged.985502002,1
_UNMANAGED_,feature.QMD.unmanaged.985502003,feature.QMD.unmanaged.985502003,1
_UNMANAGED_,feature.QMD.unmanaged.985502004,feature.QMD.unmanaged.985502004,1
_UNMANAGED_,feature.QMD.unmanaged.985502005,feature.QMD.unmanaged.985502005,1
_UNMANAGED_,feature.QMD.unmanaged.985502006,feature.QMD.unmanaged.985502006,1
_UNMANAGED_,feature.QMD.unmanaged.985502007,feature.QMD.unmanaged.985502007,1
_UNMANAGED_,feature.QMD.unmanaged.985502008,feature.QMD.unmanaged.985502008,1
_UNMANAGED_,feature.QMD.unmanaged.985503000,feature.QMD.unmanaged.985503000,1
_UNMANAGED_,feature.QMD.unmanaged.985503001,feature.QMD.unmanaged.985503001,1
_UNMANAGED_,feature.QMD.unmanaged.985503003,feature.QMD.unmanaged.985503003,1
_ALL_,feature.Seral.985501000.immature,feature.Seral.985501000.immature,1
_ALL_,feature.Seral.985501000.mature,feature.Seral.985501000.mature,1
_ALL_,feature.Seral.985501000.overmature,feature.Seral.985501000.overmature,1
_ALL_,feature.Seral.985501000.regenerating,feature.Seral.985501000.regenerating,1
_ALL_,feature.Seral.985501000.young,feature.Seral.985501000.young,1
_ALL_,feature.Seral.985501001.immature,feature.Seral.985501001.immature,1
_ALL_,feature.Seral.985501001.mature,feature.Seral.985501001.mature,1
_ALL_,feature.Seral.985501001.overmature,feature.Seral.985501001.overmature,1
_ALL_,feature.Seral.985501001.regenerating,feature.Seral.985501001.regenerating,1
_ALL_,feature.Seral.985501001.young,feature.Seral.985501001.young,1
_ALL_,feature.Seral.985501003.immature,feature.Seral.985501003.immature,1
_ALL_,feature.Seral.985501003.mature,feature.Seral.985501003.mature,1
_ALL_,feature.Seral.985501003.overmature,feature.Seral.985501003.overmature,1
_ALL_,feature.Seral.985501003.regenerating,feature.Seral.985501003.regenerating,1
_ALL_,feature.Seral.985501003.young,feature.Seral.985501003.young,1
_ALL_,feature.Seral.985502001.immature,feature.Seral.985502001.immature,1
_ALL_,feature.Seral.985502001.mature,feature.Seral.985502001.mature,1
