CURVE,X,Y
1447,0,0.3
1447,1,0.3
1447,10,3.3
1447,20,6.5
1447,30,9.8
1447,40,13
1447,60,19.6
1447,70,22.8
1447,80,26.1
1447,90,29.3
1447,110,35.9
1447,120,39.1
1447,130,42.4
1447,140,45.6
1447,160,52.2
1447,170,55.4
1447,180,58.7
1447,190,61.9
1447,210,68.5
1447,220,71.7
1447,230,75
1447,240,78.2
1447,260,84.8
1447,270,88
1447,280,91.3
1447,290,94.5
1447,299,97.5
1058,0,0.2
1058,1,0.2
1058,10,1.9
1058,20,3.9
1058,30,5.8
1058,40,7.8
1058,60,11.6
1058,70,13.6
1058,80,15.5
1058,90,17.5
1058,110,21.3
1058,120,23.3
1058,130,25.2
1058,140,27.2
1058,160,31
1058,170,33
1058,180,34.9
1058,190,36.9
1058,210,40.7
1058,220,42.7
1058,230,44.6
1058,240,46.6
1058,260,50.4
1058,270,52.4
1058,280,54.3
1058,290,56.3
1058,299,58
499,0,0.2
499,1,0.2
499,10,1.7
499,290,49.3
499,299,50.8
2915,0,0.4
2915,1,0.4
2915,10,4.1
2915,290,118.9
2915,299,122.6
2002,0,0.4
2002,1,0.4
2002,10,4.1
2002,290,118.9
2002,299,122.6
968,0,0.3
968,1,0.3
968,10,3.2
968,290,92.8
968,299,95.7
1854,0,0.3
1854,1,0.3
1854,10,3.3
1854,20,6.5
1854,30,9.8
1854,40,13
1854,60,19.6
1854,70,22.8
1854,80,26.1
1854,90,29.3
1854,110,35.9
1854,120,39.1
1854,130,42.4
1854,140,45.6
1854,160,52.2
1854,170,55.4
1854,180,58.7
1854,190,61.9
1854,210,68.5
1854,220,71.7
1854,230,75
1854,240,78.2
1854,260,84.8
1854,270,88
1854,280,91.3
1854,290,94.5
1854,299,97.5
910,0,0.3
910,1,0.3
910,10,3.3
910,20,6.5
910,30,9.8
910,40,13
910,60,19.6
910,70,22.8
910,80,26.1
910,90,29.3
910,110,35.9
910,120,39.1
910,130,42.4
910,140,45.6
910,160,52.2
910,170,55.4
910,180,58.7
910,190,61.9
910,210,68.5
910,220,71.7
910,230,75
910,240,78.2
910,260,84.8
910,270,88
910,280,91.3
910,290,94.5
910,299,97.5
750,0,0.3
750,1,0.3
750,10,3.3
750,20,6.5
750,30,9.8
750,40,13
750,60,19.6
750,70,22.8
750,80,26.1
750,90,29.3
750,110,35.9
750,120,39.1
750,130,42.4
750,140,45.6
750,160,52.2
750,170,55.4
750,180,58.7
750,190,61.9
750,210,68.5
750,220,71.7
750,230,75
750,240,78.2
750,260,84.8
750,270,88
750,280,91.3
750,290,94.5
750,299,97.5
